Gene,Description,Locus,RPKM_ctrl,RPKM_case,p_value,Fold change
AATK,apoptosis-associated tyrosine kinase,chr17:76623545-76754467,361.377,306.302,0.00128333,-1.18
COX7C,cytochrome c oxidase subunit VIIc,chr5:85949539-85952337,3504.53,2972.43,3.99836E-11,-1.18
NHP2,NHP2 ribonucleoprotein homolog (yeast),chr5:177509073-177513567,713.135,604.95,0.00296718,-1.18
INPP5F,inositol polyphosphate-5-phosphatase F,chr10:121475586-121578648,759.077,644.622,0.00228767,-1.18
GRINA,"""glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)""",chr8:145136213-145139571,1749.53,1486.5,3.86521E-06,-1.18
CD99L2,CD99 molecule-like 2,chrX:149685469-149817837,848.063,720.593,0.00130909,-1.18
C1orf85,chromosome 1 open reading frame 85,chr1:154485640-154532087,70.9101,60.3223,0.00187443,-1.18
SPCS1,signal peptidase complex subunit 1 homolog (S. cerevisiae),chr3:52694975-52717249,428.013,364.467,0.00077778,-1.17
RPL15,ribosomal protein L15,chr3:23933642-23937334,1943.8,1656.48,2.2189E-06,-1.17
CPLX1,complexin 1,chr4:768745-809945,1973.65,1682.13,1.46248E-06,-1.17
KLC2,kinesin light chain 2,chr11:65777734-65801539,764.605,652.052,0.000149655,-1.17
CLDND1,claudin domain containing 1,chr3:99717007-99724600,774.568,662.062,0.00303028,-1.17
TSC22D1,"""TSC22 domain family, member 1""",chr13:43905660-44048701,2232.31,1908.19,4.99806E-07,-1.17
REEP5,receptor accessory protein 5,chr5:112239979-112285930,801.834,685.837,0.00237893,-1.17
APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,chr14:19985055-20015086,434.879,372.26,0.00134829,-1.17
NAPA,"""N-ethylmaleimide-sensitive factor attachment protein, alpha""",chr19:52682702-52710309,1491,1276.52,4.64178E-05,-1.17
LINGO1,leucine rich repeat and Ig domain containing 1,chr15:75693423-75711887,1070.52,917.361,0.000599672,-1.17
NSF,N-ethylmaleimide-sensitive factor,chr17:42023390-42190000,912.041,782.303,0.00128691,-1.17
CNP,"""2',3'-cyclic nucleotide 3' phosphodiesterase""",chr17:37372284-37459533,2085.82,1790.15,2.49895E-07,-1.17
MYL12B,"""myosin, light chain 12B, regulatory""",chr18:3252134-3268282,1074.93,922.882,0.000679645,-1.16
SLC25A3,"""solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3""",chr12:97511533-97519906,1499.3,1288.33,6.57439E-05,-1.16
OSGEP,O-sialoglycoprotein endopeptidase,chr14:19985055-20015086,106.185,91.2552,0.00289817,-1.16
GOT1,"""glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)""",chr10:101146617-101180336,1490.86,1282.12,7.49073E-05,-1.16
ALDOAP2,"aldolase A, fructose-bisphosphate pseudogene 2",chr10:127334458-127361665,1430.59,1230.67,0.000108067,-1.16
MT2A,metallothionein 2A,chr16:55199999-55200909,1094.85,941.92,0.000710759,-1.16
CCK,cholecystokinin,chr3:42274320-42282666,3154.76,2718.24,1.2992E-08,-1.16
SCAMP5,secretory carrier membrane protein 5,chr15:73074953-73100889,1647.69,1423.86,5.45779E-05,-1.16
REEP2,receptor accessory protein 2,chr5:137802635-137810552,1149.39,994.114,0.000805477,-1.16
ZNF358,zinc finger protein 358,chr19:7487003-7491912,1067.24,923.062,0.00125646,-1.16
SYNGR3,synaptogyrin 3,chr16:1979968-1984276,1048.92,907.568,0.00140869,-1.16
CALM2,"""calmodulin 1 (phosphorylase kinase, delta)""",chr2:47240808-47257154,6968.65,6036.26,2.22045E-16,-1.15
CD320,CD320 molecule,chr19:7929457-8459885,279.474,242.088,4.20997E-13,-1.15
TADA3,transcriptional adaptor 3,chr3:9796657-9853037,364.745,315.979,0.00185402,-1.15
TTC9B,tetratricopeptide repeat domain 9B,chr19:45413804-45416146,1459.32,1264.74,0.000195497,-1.15
USMG5,up-regulated during skeletal muscle growth 5 homolog (mouse),chr10:105117713-105146213,1268.47,1099.35,0.000342528,-1.15
MRPL54,mitochondrial ribosomal protein L54,chr19:3441823-3723219,406.142,352.152,0,-1.15
PIP5K1C,"""phosphatidylinositol-4-phosphate 5-kinase, type I, gamma""",chr19:3441823-3723219,513.147,445.267,0.00275695,-1.15
GZF1,GDNF-inducible zinc finger protein 1,chr20:23290818-23350081,48.8332,42.4393,0.00111638,-1.15
NDUFS7,"""NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)""",chr19:1334905-1346583,958.429,833.515,0.00331243,-1.15
SERPINI1,"""serpin peptidase inhibitor, clade I (neuroserpin), member 1""",chr3:168936216-169026048,1120.24,974.276,0.0014383,-1.15
ATP6V0A1,"""ATPase, H+ transporting, lysosomal V0 subunit a1""",chr17:37864387-37928122,1103.83,960.448,0.00161451,-1.15
GNG3,"""guanine nucleotide binding protein (G protein), gamma 3""",chr11:62214322-62233562,4455.32,3877.09,0,-1.15
PSMD8,"""proteasome (prosome, macropain) 26S subunit, non-ATPase, 8""",chr19:43557015-43566304,955.938,832.695,0.00376776,-1.15
MATR3,matrin 3,chr5:138637690-138695259,1045.37,912.504,0.00278781,-1.15
ITM2B,integral membrane protein 2B,chr13:47705308-47734226,1666.47,1454.86,0.000183719,-1.15
SH3GL2,SH3-domain GRB2-like 2,chr9:17569193-17787118,996.994,870.496,0.00344466,-1.15
MLF2,myeloid leukemia factor 2,chr12:6727430-6732530,2426.6,2119.11,5.18297E-06,-1.15
ANAPC10P1,ANAPC10P  | anaphase promoting complex subunit 10 pseudogene  | anaphase promoting complex subunit 10 pseudogene 1,chr1:52380633-52584946,18.4914,16.1545,0.00092725,-1.14
CLIP3,CAP-GLY domain containing linker protein 3,chr19:41197401-41215635,2036.39,1780.15,3.40349E-05,-1.14
KIFC2,kinesin family member C2,chr8:145624998-145703357,864.33,755.938,0.00150144,-1.14
TMEM59L,transmembrane protein 59-like,chr19:18584681-18592841,3301.43,2892.96,2.14663E-07,-1.14
PPP1R16A,"""protein phosphatase 1, regulatory (inhibitor) subunit 16A""",chr8:145624998-145703357,151.006,132.338,0.0006129,-1.14
C11orf49,chromosome 11 open reading frame 49,chr11:46914826-47154995,485.739,425.773,0.00240872,-1.14
HMG20B,high-mobility group 20B,chr19:3441823-3723219,96.5925,84.6971,7.9658E-08,-1.14
NDUFB11,"""NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11, 17.3kDa""",chrX:46886558-46931156,810.526,713.369,0.00125351,-1.14
ATP6V1B2,"""ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2""",chr8:20098983-20123485,1341.59,1182.82,0.00158967,-1.13
KCNAB2,"""potassium voltage-gated channel, shaker-related subfamily, beta member 2""",chr1:5845456-6083840,1150.78,1014.84,0.0030091,-1.13
FUZ,fuzzy homolog (Drosophila),chr19:54961991-55008339,135.235,119.3,0.00145697,-1.13
SLC25A11,"""solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11""",chr17:4781348-4789260,665.265,587.289,0.00215848,-1.13
NRGN,"""neurogranin (protein kinase C substrate, RC3)""",chr11:124114951-124122309,23239.4,20550,0,-1.13
ANXA6,annexin A6,chr5:150460460-150517565,1742.21,1540.68,0.000476627,-1.13
NELF,nasal embryonic LHRH factor,chr9:139461842-139473592,1698.39,1502.06,0.000532795,-1.13
SNORA8,"""small nucleolar RNA, H/ACA box 8""",chr11:93034524-93114308,291.878,258.6,2.51025E-07,-1.13
NEFL,"""neurofilament, light polypeptide""",chr8:24864384-24870541,2024.72,1797.18,0.000235919,-1.13
SH3BGRL3,SH3 domain binding glutamic acid-rich protein like 3,chr1:26478832-26480599,1399.41,1243.16,0.00238388,-1.13
RAB1B,"""RAB1B, member RAS oncogene family""",chr11:65777734-65801539,698.088,620.388,0.000573729,-1.13
NPDC1,"""neural proliferation, differentiation and control, 1""",chr9:139053745-139060476,1598.57,1421.11,0.00124889,-1.12
ESRRA,estrogen-related receptor alpha,chr11:63824438-63845858,163.467,145.389,0.00195926,-1.12
HEPN1,HEPACAM opposite strand 1,chr11:124294357-124311518,739.54,657.783,1.40914E-11,-1.12
HSPB2,heat shock 27kDa protein 2,chr11:111284559-111290026,64.556,57.5326,1.71507E-05,-1.12
KLHDC3,kelch domain containing 3,chr6:43089954-43097010,2019.74,1803.04,0.000468135,-1.12
UQCRH,ubiquinol-cytochrome c reductase hinge protein,chr1:46541956-46555032,1826.13,1631.88,0.000961635,-1.12
RPS21,ribosomal protein S21,chr20:60395499-60396971,1619.68,1449.39,0.00238038,-1.12
SYT1,synaptotagmin I,chr12:77781903-78369917,1847.45,1653.29,0.00103866,-1.12
ATP5EP2,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2",chr13:27417393-27417713,1438.53,1288.35,0.00404812,-1.12
NNAT,neuronatin,chr20:35579232-35589717,1230,1102.18,5.63953E-05,-1.12
C5orf45,chromosome 5 open reading frame 45,chr5:179180502-179218446,88.5872,79.4498,0.000385238,-1.12
RPS5,ribosomal protein S5,chr19:63590447-63597982,1649.92,1479.88,0.00238289,-1.11
SURF1,surfeit 1,chr9:135204889-135232791,289.442,259.995,0.000597127,-1.11
COX7A2,cytochrome c oxidase subunit VIIa polypeptide 2 (liver),chr6:76004110-76051221,2415.97,2171.66,1.52599E-09,-1.11
HINT1,histidine triad nucleotide binding protein 1,chr5:130522775-130528935,2536.53,2280.85,0.000231369,-1.11
MAP1LC3A,microtubule-associated protein 1 light chain 3 alpha,chr20:32598352-32611810,2420.08,2177.83,0.000357307,-1.11
NDUFAF3,"""NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3""",chr3:49019695-49035926,806.766,726.122,0.000930871,-1.11
NDUFB2,"""NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa""",chr7:140042949-140052911,2064.53,1859.49,0.00106919,-1.11
ABHD12,abhydrolase domain containing 12,chr20:25176705-25319477,867.616,781.639,0.00122722,-1.11
PFN2,profilin 2,chr3:151165383-151171431,1821.25,1642.45,0.00239146,-1.11
TUBA4A,"""tubulin, alpha 4a""",chr2:219802722-219827574,2132.07,1923.9,0.000525676,-1.11
COX6C,cytochrome c oxidase subunit VIc,chr8:100959547-100975071,3206.29,2894.62,0.000066501,-1.11
FEZ1,fasciculation and elongation protein zeta 1 (zygin I),chr11:124809210-124871917,1861.67,1680.74,0.0023663,-1.11
SPARCL1,SPARC-like 1 (hevin),chr4:88613523-88669530,4593.19,4156.36,3.04008E-06,-1.11
PKM2,"""pyruvate kinase, muscle""",chr15:70278423-70310738,5697.1,5158.39,2.52128E-07,-1.10
THTPA,thiamine triphosphatase,chr14:23095070-23117849,194.458,176.282,0.00102874,-1.10
SNAPC2,"""small nuclear RNA activating complex, polypeptide 2, 45kDa""",chr19:7891228-7914538,126.991,115.229,0.0006313,-1.10
SNAP25,"""synaptosomal-associated protein, 25kDa""",chr20:10147476-10236065,10240.9,9293.3,1.22313E-11,-1.10
PLP1,proteolipid protein 1,chrX:102918409-102934201,5116.73,4644.55,1.77966E-06,-1.10
APOD,apolipoprotein D,chr3:196776866-196792278,1967.24,1790.61,0.00397292,-1.10
RPLP1,"""ribosomal protein, large, P1""",chr15:67493741-67534938,2819.74,2568.64,0.00061466,-1.10
STMN2,stathmin-like 2,chr8:80685915-80740868,2840.28,2589.15,0.00065692,-1.10
MDH1,"""malate dehydrogenase 1, NAD (soluble)""",chr2:63669595-63687832,4207.31,3838.12,4.75153E-05,-1.10
RPL27,ribosomal protein L27,chr17:38403971-38408482,2874.62,2622.67,0.000720426,-1.10
FXYD7,FXYD domain containing ion transport regulator 7,chr19:40325993-40337045,2658.14,2429.88,0.00137919,-1.09
ATP1B1,"""ATPase, Na+/K+ transporting, beta 1 polypeptide""",chr1:167341558-167603810,3272.42,2992.34,0.000397242,-1.09
PYCARD,PYD and CARD domain containing,chr16:31084765-31144011,19.6099,17.9381,0.00103803,-1.09
RTN3,reticulon 3,chr11:63205497-63283913,3506.49,3218.02,0.000438702,-1.09
SLC22A17,"""solute carrier family 22, member 17""",chr14:22885351-22891961,3030.35,2786.92,0.00143822,-1.09
PRDX2,peroxiredoxin 2,chr19:12768633-12773694,2908.94,2676.79,0.00201076,-1.09
CABP1,calcium binding protein 1,chr12:119562804-119589508,3745.28,3455.46,0.000669138,-1.08
PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,chrX:48574450-48578921,6222.15,5741.31,1.10772E-05,-1.08
PKIB,"""protein kinase (cAMP-dependent, catalytic) inhibitor beta""",chr6:122806194-123089217,38.2014,35.271,0.00169179,-1.08
WDR34,WD repeat domain 34,chr9:130354686-130458950,110.519,102.233,1.68966E-05,-1.08
Mar-02,NA,chr19:7929457-8459885,516.278,477.958,0.00158802,-1.08
PLD3,"""phospholipase D family, member 3""",chr19:45546424-45576230,3369.43,3119.37,0.00189682,-1.08
MEG3,maternally expressed 3 (non-protein coding),chr14:100362215-100397111,1870.42,1732.33,0.00368016,-1.08
ATP1A3,"""ATPase, Na+/K+ transporting, alpha 3 polypeptide""",chr19:47162577-47190222,3766.02,3493.11,0.00136279,-1.08
DNM1,dynamin 1,chr9:129968164-130057348,3088.58,2867.74,0.00254426,-1.08
MT-ND3,"""NADH dehydrogenase, subunit 3 (complex I)""",chrM:10059-10405,111770,104801,0,-1.07
MT-CO1,cytochrome c oxidase subunit I,chrM:5904-7517,192225,180381,0,-1.07
CKB,"""creatine kinase, brain""",chr14:103055748-103058923,12227.3,11533.4,6.74443E-06,-1.06
OLFM1,olfactomedin 1,chr9:137106909-137152851,7042.65,6665.68,0.00188762,-1.06
MT-CO2,cytochrome c oxidase subunit II,chrM:7586-8270,257424,243775,0,-1.06
CHN1,chimerin (chimaerin) 1,chr2:175372336-175578361,6346.16,6018.59,0.0032631,-1.05
ALDOA,"""aldolase A, fructose-bisphosphate""",chr16:29971944-29989242,9974.28,9511.72,0.000923918,-1.05
MT-ND1,"""NADH dehydrogenase, subunit 1 (complex I)""",chrM:3307-4401,183063,174790,0,-1.05
MT-CYB,cytochrome b,chrM:14747-15882,126922,121664,0,-1.04
MT-ATP6,ATP synthase F0 subunit 6,chrM:8366-9988,292530,281439,0,-1.04
MT-ND2,MTND2,chrM:4470-5512,137837,132915,0,-1.04
SNORA7A,"""small nucleolar RNA, H/ACA box 7A""",chr3:12851444-12858081,0.00836848,0.00860339,0.00270394,1.03
PRDX5,peroxiredoxin 5,chr11:63824438-63845858,3635.95,3860.8,0.00284075,1.06
C22orf24,chromosome 22 open reading frame 24,chr22:30659506-30683590,4.17314,4.43242,0.000171519,1.06
UBC,ubiquitin C,chr12:123962146-123965530,12220.8,13040.7,9.7033E-07,1.07
APOE,apolipoprotein E,chr19:50100878-50104489,3767.33,4023.35,0.00373115,1.07
Sep-05,septin 5,chr22:18081986-18092297,3688.95,3942.17,0.00365615,1.07
PEBP1,phosphatidylethanolamine binding protein 1,chr12:117058252-117067770,5376.96,5753.17,0.000363353,1.07
FTL,"""ferritin, light polypeptide""",chr19:54160377-54161947,6480.13,6935.69,8.41256E-05,1.07
SNORA31,"""small nucleolar RNA, H/ACA box 31""",chr13:44809007-44813347,23.6812,25.3553,0,1.07
C19orf71,chromosome 19 open reading frame 71,chr19:3441823-3723219,18.6101,20.0091,1.06794E-05,1.08
RPL3,ribosomal protein L3,chr22:38038832-38045616,2674,2893.65,0.00327897,1.08
YWHAH,"""tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide""",chr22:30659506-30683590,5097.31,5527.13,3.04587E-05,1.08
MTCH1,mitochondrial carrier homolog 1 (C. elegans),chr6:37043895-37167595,2333.62,2535.88,0.00373102,1.09
FAU,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed,chr11:64644678-64658579,1999.77,2178.13,0.000634301,1.09
MRFAP1,Mof4 family associated protein 1,chr4:6692718-6695357,2325.28,2536.13,0.00250393,1.09
PPIA,peptidylprolyl isomerase A (cyclophilin A),chr7:44802804-44807754,4414.83,4815.77,0.00003022,1.09
CIZ1,CDKN1A interacting zinc finger protein 1,chr9:129968164-130057348,367.885,401.336,0.000149451,1.09
RPL18,ribosomal protein L18,chr19:53810402-53814245,2758.18,3011.73,0.000847316,1.09
MYL6,"""myosin, light chain 6, alkali, smooth muscle and non-muscle""",chr12:54838366-54841633,2622.95,2864.4,0.00134256,1.09
RPS6,ribosomal protein S6,chr9:19366253-19385742,2802.41,3064.37,0.000629707,1.09
APP,amyloid beta (A4) precursor protein,chr21:26174732-26465003,3877.14,4242,5.20254E-05,1.09
RPL36,ribosomal protein L36,chr19:5641271-5642674,2307.99,2525.75,0.00175764,1.09
GLUL,glutamate-ammonia ligase,chr1:180617461-180627964,2145.71,2349.99,0.00232383,1.10
HEATR2,HEAT repeat containing 2,chr7:555360-795716,26.1146,28.6027,0.0012177,1.10
TUBB3,"""tubulin, beta 3""",chr16:88513167-88530006,2050.18,2246.61,0.00274233,1.10
RPS15,ribosomal protein S15,chr19:1389362-1391492,2830.04,3101.53,0.000425392,1.10
TMSL3,thymosin-like 3,chr4:91978658-91979286,3675.06,4028,5.82055E-05,1.10
UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1,chr19:18545110-18546960,2268.64,2488.83,0.00141693,1.10
DYNLRB1,"""dynein, light chain, roadblock-type 1""",chr20:32567864-32592422,3042.76,3350.44,0.000119801,1.10
LY6H,"""lymphocyte antigen 6 complex, locus H""",chr8:144310708-144313120,1754.83,1938.11,0.00257081,1.10
ATPIF1,ATPase inhibitory factor 1,chr1:28435197-28437196,2362.78,2613.34,0.000580462,1.11
ISYNA1,inositol-3-phosphate synthase 1,chr19:18312396-18526861,76.6037,84.7447,5.61849E-07,1.11
TBXA2R,thromboxane A2 receptor,chr19:3441823-3723219,2.98664,3.30932,0.000783348,1.11
RPS14,ribosomal protein S14,chr5:149802945-149809512,3068.49,3400.33,4.10179E-05,1.11
DLG2,"""discs, large homolog 2 (Drosophila)""",chr11:82843700-85015962,209.392,232.161,0.00339775,1.11
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,chr7:26196080-26206942,1533.79,1705.66,0.00256422,1.11
TMSB4X,"""thymosin beta 4, X-linked""",chrX:12903149-12905267,6994.57,7785.45,8.11315E-11,1.11
POLR2F,polymerase (RNA) II (DNA directed) polypeptide F,chr22:36679649-36767059,407.469,453.969,0.00125577,1.11
RPS8,ribosomal protein S8,chr1:45013827-45017038,1940.96,2162.81,0.00053732,1.11
TUBB2C,"""tubulin, beta 2C""",chr9:139255531-139262043,1654.25,1847.81,0.00107186,1.12
YWHAE,"""tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide""",chr17:1194594-1250267,3313.08,3707.88,2.48744E-06,1.12
MT-ND5,"""NADH dehydrogenase, subunit 5 (complex I)""",chrM:12337-14149,35671.6,39932.6,0,1.12
SERF2,small EDRK-rich factor 2,chr15:41852106-41904243,3423.48,3835.2,2.0607E-07,1.12
COX4I1,cytochrome c oxidase subunit IV isoform 1,chr16:84390696-84398109,4988.07,5591.72,4.47506E-09,1.12
FTH1P8,"""ferritin, heavy polypeptide 1 pseudogene 8""",chr8:82596348-82597221,1358.08,1528.58,0.00151623,1.13
S100B,S100 calcium binding protein B,chr21:46842967-46849549,1643.98,1850.6,0.00049051,1.13
GAP43,growth associated protein 43,chr3:116824860-116923024,2455.78,2772.07,1.23664E-05,1.13
MT-ND6,"""NADH dehydrogenase, subunit 6 (complex I)""",chrM:14149-14674,41520.6,46916.8,0,1.13
TPT1,"""tumor protein, translationally-controlled 1""",chr13:44809007-44813347,3759.97,4248.72,4.92503E-08,1.13
MIR1282,microRNA 1282,chr15:41852106-41904243,6.76074E-06,7.64064E-06,0,1.13
RPS16,ribosomal protein S16,chr19:44615691-44618458,1499.67,1696.14,0.000514384,1.13
ENC1,ectodermal-neural cortex 1 (with BTB-like domain),chr5:73958990-73972273,1970.94,2229.23,6.80403E-05,1.13
FOXH1,forkhead box H1,chr8:145624998-145703357,23.9299,27.09,1.17091E-05,1.13
ZRSR1,"""zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 1""",chr5:112239979-112285930,33.1199,37.5236,0.000446166,1.13
SURF2,surfeit 2,chr9:135204889-135232791,218.116,247.568,4.77011E-06,1.14
RPL11,ribosomal protein L11,chr1:23890880-23895502,2633.97,2991.79,1.86572E-06,1.14
FTH1P15,"""ferritin, heavy polypeptide 1 pseudogene 15""",chr6:56927731-57000097,44.1814,50.3376,7.54633E-05,1.14
HPCAL1,hippocalcin-like 1,chr2:10360490-10485193,1054.4,1203.23,0.00174826,1.14
ALDOC,"""aldolase C, fructose-bisphosphate""",chr17:23924259-23928079,4857.29,5547.96,1.39944E-11,1.14
CD63,CD63 molecule,chr12:54400487-54411977,1141.03,1303.41,0.000943013,1.14
DYNLL1,"""dynein, light chain, LC8-type 1""",chr12:119392042-119420680,4460.23,5096.92,7.72145E-11,1.14
FBXO2,F-box protein 2,chr1:11631032-11645971,1347.98,1540.55,3.23697E-07,1.14
NDUFS5,"""NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)""",chr1:39264592-39272873,3563.25,4075.89,4.7225E-09,1.14
EEF1A1P5,eukaryotic translation elongation factor 1 alpha 1 pseudogene 5,chr9:134884658-134886082,2434.51,2785.44,1.21276E-06,1.14
SPSB2,splA/ryanodine receptor domain and SOCS box containing 2,chr12:6846543-6852713,19.2048,21.9852,1.15123E-09,1.14
CLU,clusterin,chr8:27491965-27528215,14039.8,16095,0,1.15
NCL,nucleolin,chr2:232027705-232037449,879.222,1009.83,0.0027687,1.15
HSP90AA4P,"""heat shock protein 90kDa alpha (cytosolic), class A member 4 (pseudogene)""",chr4:89032018-89034191,1120.35,1286.96,0.000690983,1.15
TSPYL2,TSPY-like 2,chrX:53128273-53134446,1098.27,1264.96,0.000612375,1.15
NUDC,nuclear distribution gene C homolog (A. nidulans),chr1:27120810-27145475,802.807,925.583,0.00328243,1.15
TMSB10,"""thymosin beta 4, X-linked""",chr2:84986273-84987310,8464.33,9759.61,0,1.15
PTMS,parathymosin,chr12:6745801-6750379,1767.49,2038.21,1.16201E-05,1.15
C1orf151,chromosome 1 open reading frame 151,chr1:19796053-19839759,1033.35,1193.46,3.21317E-05,1.15
DYNLL1P1,"dynein, cytoplasmic, light polypeptide 1 pseudogene 1  |DNCL1P1  | dynein, light chain, LC8-type 1 pseudogene 1",chr14:80782390-80782660,948.311,1095.51,0.00114146,1.16
C1orf182,chromosome 1 open reading frame 182,chr1:154545375-154604261,1.21797,1.40728,2.09566E-05,1.16
HNRNPM,heterogeneous nuclear ribonucleoprotein M,chr19:7929457-8459885,319.982,370.519,8.86852E-06,1.16
MTRNR2L2,MT-RNR2-like 2,chrM:1672-3230,255506,296033,0,1.16
RPS3,ribosomal protein S3,chr11:74788209-74794378,1398.45,1627.49,3.24142E-05,1.16
RPL37A,ribosomal protein L37a,chr2:217071764-217074428,3208.65,3747.13,1.11836E-10,1.17
MFAP1,microfibrillar-associated protein 1,chr15:41852106-41904243,107.663,126.071,0.00048079,1.17
NDRG1,N-myc downstream regulated 1,chr8:134318595-134378680,701.061,822.423,0.00190408,1.17
PGPEP1,pyroglutamyl-peptidase I,chr19:18312396-18526861,35.683,41.8891,6.98627E-05,1.17
BEX1,"""brain expressed, X-linked 1""",chrX:102204243-102205824,4003.43,4706.66,5.19584E-14,1.18
TCEAL4,transcription elongation factor A (SII)-like 4,chrX:102718053-102729309,810.029,954.197,0.000606866,1.18
GPR21,G protein-coupled receptor 21,chr9:124743108-124906966,10.3061,12.1504,0.00301684,1.18
C16orf92,chromosome 16 open reading frame 92,chr16:29942155-29949687,7.14621,8.43576,0.00148874,1.18
DDN,dendrin,chr12:47675199-47679359,893.905,1056.28,0.000240072,1.18
SYP,synaptophysin,chrX:48931200-48943606,4729.72,5589.18,0,1.18
INTS4,integrator complex subunit 4,chr11:77267415-77383365,23.1077,27.3072,0.00392962,1.18
NDUFA1,"""NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa""",chrX:118888465-118894624,1791.17,2119.15,2.04262E-08,1.18
DRAP1,DR1-associated protein 1 (negative cofactor 2 alpha),chr11:65443303-65445607,782.992,926.886,0.000509479,1.18
AHSA1,"""AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)""",chr14:76994154-77005560,834.169,988.051,0.000317523,1.18
CACYBP,calcyclin binding protein,chr1:173235193-173247786,906.331,1074.84,0.000372047,1.19
GFAP,glial fibrillary acidic protein,chr17:40338518-40348394,4738,5620.16,0,1.19
SLCO5A1,"""solute carrier organic anion transporter family, member 5A1""",chr8:70747128-70909762,1.46411,1.73678,0,1.19
ATP5I,"""ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E""",chr4:656227-658122,2703.75,3208.04,5.72573E-11,1.19
SNCA,"""synuclein, alpha (non A4 component of amyloid precursor)""",chr4:90865727-90978489,1124.87,1336.13,4.19961E-05,1.19
RPL35,ribosomal protein L35,chr9:126655575-126664061,2097.63,2494.68,4.82377E-09,1.19
LSM7,"""LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)""",chr19:2272521-2306099,264.879,315.797,0.00025179,1.19
MT3,metallothionein 3,chr16:55180767-55182500,7850.78,9376.59,0,1.19
ETFB,"""electron-transfer-flavoprotein, beta polypeptide""",chr19:56540221-56561484,770.228,920.287,0.000268162,1.19
GABRA5,"""gamma-aminobutyric acid (GABA) A receptor, alpha 5""",chr15:24339785-24777095,252.443,302.336,0.000559874,1.20
HMGN2P8,high-mobility group nucleosomal binding domain 2 pseudogene 8,chr15:27778862-27901998,78.6885,94.3232,0.00179997,1.20
DNAL4,"""dynein, axonemal, light chain 4""",chr22:37460675-37520149,208.943,250.858,9.27603E-06,1.20
POLR2L,"""polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa""",chr11:829753-832529,527.635,634.76,0.00170347,1.20
ITM2C,integral membrane protein 2C,chr2:231437556-231452206,3032.95,3662.56,1.62093E-14,1.21
EVI2B,ecotropic viral integration site 2B,chr17:26446120-26728817,6.40758,7.74097,0.000408232,1.21
EEF1D,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein),chr8:144733040-144750726,564.166,681.576,0.000960873,1.21
BLOC1S1,"""biogenesis of lysosomal organelles complex-1, subunit 1""",chr12:54396087-54399751,1153.65,1397.63,1.41483E-06,1.21
C6orf114,chromosome 6 open reading frame 114,chr6:13466040-13595766,13.9341,16.8913,0.000339208,1.21
SHFM1,split hand/foot malformation (ectrodactyly) type 1,chr7:96156018-96177139,429.782,521.18,0.00308396,1.21
THRA,"""thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)""",chr17:35472677-35510499,1021.81,1241.04,2.92995E-07,1.21
RPL8,ribosomal protein L8,chr8:145985958-145988609,3481.55,4231.93,0,1.22
NPTXR,neuronal pentraxin receptor,chr22:37544402-37569963,993.706,1210.59,3.99049E-06,1.22
TCEAL5,transcription elongation factor A (SII)-like 5,chrX:102415274-102418456,597.708,728.317,0.000342428,1.22
NPTX1,neuronal pentraxin I,chr17:76055227-76064999,621.389,758.384,0.000231415,1.22
RPS9,ribosomal protein S9,chr19:59396537-59403327,2495.44,3052.18,1.54987E-13,1.22
CALR,calreticulin,chr19:12910422-12916303,1040.96,1273.63,1.37946E-06,1.22
Sep-04,septin 4,chr17:53952614-53964410,2392.24,2930.55,1.81632E-13,1.23
C1orf77,chromosome 1 open reading frame 77,chr1:151857898-151885402,308.089,377.536,1.18407E-06,1.23
