row,gene.up,gene.down
1009,MT2A,NIT2
1010,MT3,NKAIN1
1011,MTA2,NKAIN2
1012,MTMR10,NKRF
1013,MTMR9LP,NLE1
1014,MTRNR2L1,NLK
1015,MTRNR2L2,NME1
1016,MTRNR2L6,NMNAT2
1017,MTRNR2L8,NNAT
1018,MTRNR2L9,NOMO2
1019,MTSS1L,NOV
1020,MTUS1,NOXA1
1021,MUC20,NPM3
1022,MUC6,NPTN
1023,MUTED,NPTX1
1024,MVP,NPTX2
1025,MXD4,NPTXR
1026,MXI1,NPY
1027,MYBPC1,NR4A1
1028,MYD88,NR4A2
1029,MYH14,NR4A3
1030,MYH3,NRBF2
1031,MYL3,NRBP1
1032,MYO10,NRG1
1033,MYO6,NRGN
1034,MYOM1,NRIP3
1035,MYRIP,NRN1
1036,MYT1,NRXN3
1037,N4BP2,NSF
1038,NACC2,NTN4
1039,NAIP,NTN5
1040,NANOS1,NTNG1
1041,NAPRT1,NTSR1
1042,NASP,NUAK1
1043,NBEAL1,NUDCD3
1044,NBPF10,NUDT11
1045,NBPF14,NUDT14
1046,NBPF9,NUDT15
1047,NCKAP5,NUDT18
1048,NCOA2,NUDT2
1049,NDRG1,NUDT4
1050,NDRG2,NUP85
1051,NEB,NXPH3
1052,NEBL,OAS1
1053,NEDD1,OAZ3
1054,NEDD4,OCA2
1055,NEK1,OCEL1
1056,NEK3,OCIAD1
1057,NEK5,OCIAD2
1058,NEK6,OCRL
1059,NEK7,ODZ3
1060,NEK8,ODZ4
1061,NEO1,OGDHL
1062,NF2,OGN
1063,NFATC1,OLA1
1064,NFATC4,OLFM1
1065,NFE2L2,OLFM3
1066,NFIA,OLFML2B
1067,NFKB2,OLFML3
1068,NFKBIZ,OLR1
1069,NHS,OPCML
1070,NHSL1,OPN3
1071,NID1,OPRK1
1072,NINL,OPRL1
1073,NIPBL,ORC5
1074,NKAIN3,OSBPL10
1075,NKAIN4,OSBPL3
1076,NKAPL,OSCP1
1077,NKTR,OSTF1
1078,NKX6-2,OSTM1
1079,NLRC5,OTOGL
1080,NLRP12,OTUB1
1081,NMB,OTUB2
1082,NMI,OXCT1
1083,NOSTRIN,OXCT2
1084,NOTCH1,OXR1
1085,NOTCH2,OXSM
1086,NOTCH2NL,P2RX5
1087,NPAS3,P2RY12
1088,NPFF,P2RY13
1089,NPHP1,PABPC1L2A
1090,NPL,PABPC1L2B
1091,NQO1,PAFAH1B1
1092,NR2E1,PAH
1093,NSRP1,PAK1
1094,NT5DC2,PAK7
1095,NT5E,PAM
1096,NTRK2,PAN3-AS1
1097,NTSR2,PANK1
1098,NUAK2,PANK4
1099,NUDT13,PARK2
1100,NUP37,PARM1
1101,NUPR1,PARS2
1102,NWD1,PART1
1103,NXN,PARVB
1104,NXT2,PCDH1
1105,NYNRIN,PCDH19
1106,OAF,PCDH20
1107,OAS3,PCDH8
1108,OFD1,PCDHAC2
1109,OGFRL1,PCMT1
1110,OLFM2,PCOLCE
1111,OLIG1,PCP4
1112,OLIG2,PCP4L1
1113,OMA1,PCSK1
1114,OPALIN,PCSK2
1115,OPHN1,PCYOX1L
1116,ORAI3,PDCD2L
1117,OSBPL11,PDE1A
1118,OSGIN1,PDE1B
1119,OSMR,PDE2A
1120,OTUD6A,PDIA5
1121,OTUD7B,PDK1
1122,OXTR,PDK3
1123,P2RX7,PDP1
1124,P2RY14,PEBP4
1125,P4HA1,PELI3
1126,PADI2,PENK
1127,PAIP2B,PEX11B
1128,PALLD,PFKP
1129,PAPLN,PFN2
1130,PAPPA2,PGAM1
1131,PAQR6,PGAM5
1132,PAQR8,PGAP1
1133,PAR5,PGBD5
1134,PARD3,PGK1
1135,PARD3B,PGM2L1
1136,PARP14,PGM5
1137,PARP4,PGRMC1
1138,PARP9,PHYHIP
1139,PAR-SN,PI4KA
1140,PATZ1,PICK1
1141,PAX6,PIGB
1142,PBX3,PIGL
1143,PBXIP1,PIGT
1144,PCDH15,PIH1D1
1145,PCDHB19P,PILRA
1146,PCDHB4,PIM2
1147,PCDHB9,PIN1
1148,PCDHGA11,PIP4K2C
1149,PCDHGA12,PITHD1
1150,PCDHGC3,PITPNB
1151,PCF11,PJA1
1152,PCK2,PJA2
1153,PCSK5,PKM2
1154,PCTP,PLBD2
1155,PDE4B,PLCH1
1156,PDE8A,PLCL2
1157,PDGFRA,PLCXD3
1158,PDGFRB,PLD3
1159,PDK4,PLEK
1160,PDLIM4,PLEKHB2
1161,PDLIM5,PLK2
1162,PDPN,PLK3
1163,PDZD8,PLN
1164,PEAR1,PNCK
1165,PELI2,PNMA1
1166,PEX11A,PNMA2
1167,PGAM2,PNMA3
1168,PGF,PNMA6C
1169,PGM3,PNMAL1
1170,PGM5P2,PNMAL2
1171,PHACTR4,PNMT
1172,PHF10,PNOC
1173,PHF19,POLR3K
1174,PHF21A,POMZP3
1175,PHF3,POP7
1176,PHF8,POPDC3
1177,PHGDH,PPEF1
1178,PHIP,PPIP5K1
1179,PHKA1,PPL
1180,PHLDB1,PPM1E
1181,PHLPP1,PPM1H
1182,PHYHD1,PPME1
1183,PI15,PPP1CA
1184,PIGA,PPP1R14C
1185,PIGR,PPP1R2
1186,PIH1D2,PPP2R5D
1187,PIK3C2A,PPP3CA
1188,PIK3CA,PPP3CB
1189,PIPOX,PPP3R1
1190,PIR,PPP4R4
1191,PIRT,PPP5C
1192,PITPNC1,PRDM10
1193,PKN3,PRDM8
1194,PKP4,PREP
1195,PLA2G16,PREPL
1196,PLA2G5,PRICKLE1
1197,PLAC9,PRKACA
1198,PLCB3,PRKACB
1199,PLCD1,PRKAG2
1200,PLCD4,PRKAR1B
1201,PLCG1,PRKAR2B
1202,PLD2,PRKCD
1203,PLEKHA7,PRKCDBP
1204,PLEKHB1,PRKCE
1205,PLEKHF1,PRKCG
1206,PLEKHF2,PRKCI
1207,PLEKHG1,PRMT8
1208,PLEKHG4B,PRPF19
1209,PLEKHH2,PRPH2
1210,PLEKHO2,PRPS1
1211,PLIN1,PRPS2
1212,PLIN2,PRR16
1213,PLIN3,PRRT1
1214,PLIN5,PRRT3
1215,PLK4,PRSS12
1216,PLOD2,PRSS23
1217,PLSCR1,PSEN2
1218,PLSCR4,PSMA1
1219,PLTP,PSMA6
1220,PLXNB1,PSMB5
1221,PLXNB2,PSMC6
1222,PLXNB3,PSMD13
1223,PMP2,PSMD8
1224,PMP22,PSMG1
1225,PNISR,PSMG3
1226,PNN,PSPC1
1227,PNP,PTDSS1
1228,PNPLA8,PTER
1229,POC1B,PTGER3
1230,POC5,PTGES
1231,POLA1,PTGES2
1232,POLD1,PTGIS
1233,POM121L10P,PTGS1
1234,POMT2,PTGS2
1235,PON2,PTPLA
1236,POU2AF1,PTPN3
1237,POU2F1,PTPN5
1238,POU3F2,PTPRK
1239,PPAP2B,PTPRN
1240,PPAPDC1A,PTPRN2
1241,PPARA,PTPRO
1242,PPFIA1,PTPRR
1243,PPIEL,PTPRT
1244,PPIG,PVRL1
1245,PPIL4,PYCARD
1246,PPIL6,QPCT
1247,PPP1R13L,QSOX1
1248,PPP1R1B,RAB11FIP5
1249,PPP1R2P1,RAB12
1250,PPP1R3B,RAB15
1251,PPP1R3C,RAB33A
1252,PPP1R3D,RAB35
1253,PPP1R3G,RAB37
1254,PPP4R2,RAB39B
1255,PRDM16,RAB3A
1256,PREX1,RAB3C
1257,PREX2,RAB40C
1258,PRIC285,RAB6B
1259,PRIM2,RAB9B
1260,PRINS,RABGGTA
1261,PRKD1,RABIF
1262,PRKD2,RAD1
1263,PRKD3,RAD18
1264,PRKX,RAE1
1265,PRODH,RALYL
1266,PROX1,RAMP3
1267,PRPF38A,RAN
1268,PRPF38B,RANGAP1
1269,PRR5L,RAP1GAP
1270,PRRX1,RAP1GAP2
1271,PRSS35,RAP1GDS1
1272,PRX,RAPGEF5
1273,PSAT1,RAPH1
1274,PSKH1,RARB
1275,PSTPIP2,RASAL1
1276,PTAR1,RASGEF1B
1277,PTCH1,RASGRF1
1278,PTGR2,RASGRF2
1279,PTH1R,RASGRP1
1280,PTK6,RASGRP2
1281,PTN,RASL11A
1282,PTPN12,RASL11B
1283,PTPN13,RASSF5
1284,PTPN21,RBFOX1
1285,PTPRC,RBM20
1286,PTPRZ1,RBM24
1287,PTTG1IP,RBM3
1288,PVRL2,RBP4
1289,PYGL,RCAN2
1290,PYGM,RCN2
1291,PYROXD2,RDH12
1292,QKI,RDH13
1293,QSER1,RDH14
1294,RAB13,REEP1
1295,RAB20,REEP5
1296,RAB27A,RELL2
1297,RAB30,RELN
1298,RAB31,REPS2
1299,RAI14,RERGL
1300,RANBP3L,RET
1301,RAPGEF3,RFC2
1302,RAPGEF4,RFC3
1303,RARG,RFC5
1304,RARRES2,RFK
1305,RARRES3,RFPL1-AS1
1306,RASSF2,RFPL2
1307,RASSF8,RFTN1
1308,RAVER2,RGMB
1309,RBBP6,RGS1
1310,RBBP8,RGS2
1311,RBCK1,RGS4
1312,RBKS,RGS6
1313,RBL1,RGS7
1314,RBM15,RGS7BP
1315,RBM28,RHBDD2
1316,RBM38,RHEBL1
1317,RBM41,RHOBTB1
1318,RBMS2,RIIAD1
1319,RBMS3,RIMBP2
1320,RDH10,RIMKLA
1321,RDX,RIMS3
1322,REL,RIPPLY2
1323,RELL1,RMND1
1324,RERG,RNASEH2B
1325,REV3L,RND1
1326,REXO1L1,RNF11
1327,REXO2,RNF112
1328,RFTN2,RNF128
1329,RFX2,RNF14
1330,RFX4,RNF145
1331,RFXANK,RNF165
1332,RGMA,RNF175
1333,RGR,RNF187
1334,RGS20,RNF19B
1335,RGS9,RNF26
1336,RHBDD1,RNF41
1337,RHBDF1,RNF8
1338,RHBDL2,RNLS
1339,RHD,RNMTL1
1340,RHOBTB3,ROBO2
1341,RHOC,RPGRIP1L
1342,RHOJ,RPH3A
1343,RHOQ,RPL39L
1344,RHOU,RPRML
1345,RHPN2,RPS6KA1
1346,RIF1,RPS6KL1
1347,RIN2,RRAGA
1348,RIN3,RRP1
1349,RIT1,RRP9
1350,RN5-8S1,RSAD2
1351,RNASEL,RSPH4A
1352,RNF135,RSPO2
1353,RNF182,RTBDN
1354,RNF212,RTN1
1355,RNF213,RTN3
1356,RNF43,RTN4
1357,RNPC3,RTN4R
1358,RNPEPL1,RTN4RL1
1359,ROBO1,RUSC1
1360,ROBO3,RWDD2A
1361,ROCK1,RXFP1
1362,ROM1,SAE1
1363,RORA,SAMD12
1364,RORB,SARS2
1365,RP2,SASH3
1366,RPGR,SATB2
1367,RPL13P5,SCAI
1368,RPL18A,SCAMP1
1369,RPL19P12,SCAMP5
1370,RPL21,SCAND3
1371,RPL28,SCG2
1372,RPL37,SCG5
1373,RPLP0P2,SCN1A
1374,RPS15AP10,SCN1B
1375,RPS18,SCN2B
1376,RPS19,SCN3B
1377,RPS26,SCN4B
1378,RPS27,SCN8A
1379,RPS6,SCOC
1380,RRBP1,SCPEP1
1381,RREB1,SCRT2
1382,RXRA,SDHAF1
1383,RYR1,SDHAP3
1384,RYR3,SEC14L5
1385,S100A1,SEC16B
1386,S100A13,SEC22A
1387,S100A16,SEC23A
1388,S100B,SEC24D
1389,S1PR1,SEC61A2
1390,S1PR3,SEH1L
1391,SAFB2,SELPLG
1392,SALL1,SEMA3C
1393,SALL2,SEMA3E
1394,SALL3,SEMA4F
1395,SAMD4A,SEMA7A
1396,SAMD4B,SERAC1
1397,SAMD9L,SERINC3
1398,SASH1,SERPINF1
1399,SASS6,SERPINI1
1400,SBF2,SERTAD4
1401,SBNO2,SETD4
1402,SCAF11,SEZ6
1403,SCAMP2,SEZ6L2
1404,SCAND2,SF3B5
1405,SCARA3,SFRP2
1406,SCD,SGK223
1407,SCLT1,SGPP1
1408,SCN11A,SGPP2
1409,SCN9A,SH2D5
1410,SCRG1,SH3BGRL2
1411,SCRIB,SH3BP1
1412,SCUBE3,SH3D21
1413,SDC2,SH3GL2
1414,SDC4,SIDT1
1415,SDF2L1,SIGLEC10
1416,SDHAP2,SIK1
1417,SDS,SKAP2
1418,SDSL,SLA
1419,SEC14L1,SLC10A4
1420,SELENBP1,SLC12A5
1421,SELL,SLC16A14
1422,SEMA3D,SLC17A6
1423,SEMA4B,SLC17A7
1424,SENP7,SLC17A9
1425,SEPP1,SLC1A1
1426,SEPT10,SLC1A6
1427,SEPT2,SLC22A17
1428,SEPT4,SLC22A18
1429,SERINC5,SLC24A2
1430,SERP1,SLC25A11
1431,SERPINB6,SLC25A12
1432,SERPINE2,SLC25A14
1433,SERPINH1,SLC25A16
1434,SESN2,SLC25A17
1435,SESN3,SLC25A26
1436,SFTA1P,SLC25A27
1437,SFXN5,SLC25A3
1438,SGK3,SLC25A32
1439,SGOL2,SLC25A4
1440,SGPL1,SLC25A40
1441,SH3BP2,SLC25A44
1442,SH3BP4,SLC27A2
1443,SH3PXD2B,SLC27A4
1444,SH3TC1,SLC29A1
1445,SH3TC2,SLC2A13
1446,SHANK1,SLC2A3
1447,SHC1,SLC2A6
1448,SHISA6,SLC30A3
1449,SIRT4,SLC30A9
1450,SIX5,SLC32A1
1451,SKA1,SLC35A2
1452,SKP2,SLC35F3
1453,SLC11A1,SLC36A1
1454,SLC12A7,SLC38A1
1455,SLC13A5,SLC39A10
1456,SLC14A1,SLC39A3
1457,SLC15A2,SLC41A2
1458,SLC16A1,SLC45A1
1459,SLC16A3,SLC4A10
1460,SLC16A9,SLC4A8
1461,SLC1A2,SLC6A15
1462,SLC1A3,SLC6A17
1463,SLC22A3,SLC6A7
1464,SLC22A4,SLC7A14
1465,SLC25A18,SLC7A4
1466,SLC25A20,SLC7A8
1467,SLC25A34,SLC8A2
1468,SLC25A41,SLC9A1
1469,SLC25A48,SLC9A6
1470,SLC26A2,SLC9A7P1
1471,SLC28A2,SLCO2A1
1472,SLC2A10,SLIT1
1473,SLC2A4RG,SLIT2
1474,SLC30A10,SLIT3
1475,SLC35A3,SLITRK1
1476,SLC35D2,SLITRK5
1477,SLC38A3,SLN
1478,SLC39A1,SMAP2
1479,SLC39A12,SMPD3
1480,SLC41A1,SMYD2
1481,SLC43A3,SMYD3
1482,SLC44A2,SNAP25
1483,SLC44A3,SNAP91
1484,SLC4A11,SNCA
1485,SLC4A4,SNRPB
1486,SLC4A5,SNRPN
1487,SLC6A11,SNURF
1488,SLC6A12,SNX10
1489,SLC7A10,SNX17
1490,SLC7A11,SNX25
1491,SLC7A2,SOCS2
1492,SLC7A5P2,SORBS2
1493,SLC7A6OS,SORCS1
1494,SLC9A3R1,SOSTDC1
1495,SLC9A9,SPA17
1496,SLCO1A2,SPATA2L
1497,SLCO1C1,SPCS1
1498,SLCO4A1,SPCS3
1499,SLFN13,SPEF1
1500,SLFN5,SPHKAP
1501,SLITRK2,SPINT2
1502,SLMO2,SPON2
1503,SMA4,SPRN
1504,SMAD5,SPRYD3
1505,SMAD6,SPTSSB
1506,SMARCA5,SQLE
1507,SMARCC1,SRD5A1
1508,SMARCD2,SRD5A3
1509,SMC1A,SRPR
1510,SMC3,SST
1511,SMC4,SSTR1
1512,SMC5,SSTR2
1513,SMC6,ST6GALNAC5
1514,SMO,ST8SIA3
1515,SMOC1,ST8SIA4
1516,SMOX,STAMBPL1
1517,SMTN,STAR
1518,SMURF2,STARD5
1519,SNAP23,STAT4
1520,SNHG1,STK16
1521,SNHG12,STK32C
1522,SNHG6,STK39
1523,SNTA1,STMN1
1524,SNTB1,STMN2
1525,SNX33,STMN4
1526,SOAT1,STOML1
1527,SORBS1,STRC
1528,SORBS3,STS
1529,SOS2,STX1A
1530,SOX10,STXBP1
1531,SOX2,STXBP5
1532,SOX21,STXBP5L
1533,SOX5,SUB1
1534,SOX6,SUCLA2
1535,SOX8,SULF1
1536,SOX9,SULT1A1
1537,SP1,SULT4A1
1538,SP110,SUMO3
1539,SP140,SUSD1
1540,SPAG9,SUSD4
1541,SPATA13,SV2B
1542,SPATA6,SVOP
1543,SPDYA,SYN1
1544,SPDYE3,SYN2
1545,SPG20,SYN3
1546,SPON1,SYNDIG1
1547,SPR,SYNGR1
1548,SPSB2,SYNGR3
1549,SQRDL,SYNJ1
1550,SREK1,SYNPO2
1551,SRGAP1,SYNPR
1552,SRSF11,SYP
1553,SSFA2,SYT1
1554,SSPN,SYT11
1555,ST18,SYT12
1556,ST5,SYT13
1557,STAC3,SYT2
1558,STAG1,SYT4
1559,STAG2,SYT5
1560,STARD8,SYT6
1561,STK10,SYT7
1562,STK17B,TAC1
1563,STK3,TACR1
1564,STK33,TADA1
1565,STK38,TAGLN
1566,STOM,TAGLN3
1567,STON1,TARBP1
1568,STON2,TASP1
1569,STOX1,TBC1D25
1570,STXBP4,TBC1D9
1571,STYX,TBCC
1572,STYXL1,TBR1
1573,SUCLG2,TC2N
1574,SYCP2,TCEAL7
1575,SYNC,TCEANC
1576,SYNM,TESC
1577,SYNPO2L,TET3
1578,SYTL4,TGFBI
1579,TAF1D,THOC3
1580,TAF3,THOC5
1581,TANC1,THOC6
1582,TAOK1,THY1
1583,TAP1,TIAM2
1584,TAPBPL,TIMM17A
1585,TAX1BP3,TIPRL
1586,TBC1D16,TM2D3
1587,TBL1X,TM6SF1
1588,TBX3,TM9SF2
1589,TBXA2R,TMED3
1590,TCAP,TMEFF1
1591,TCEA1,TMEFF2
1592,TCF12,TMEM109
1593,TCF7L1,TMEM110
1594,TCF7L2,TMEM121
1595,TCFL5,TMEM130
1596,TCP11L2,TMEM132D
1597,TCTN1,TMEM14A
1598,TDRG1,TMEM151A
1599,TEAD1,TMEM155
1600,TEAD2,TMEM159
1601,TEAD3,TMEM160
1602,TENC1,TMEM163
1603,TEP1,TMEM169
1604,TET1,TMEM17
1605,TET2,TMEM177
1606,TEX9,TMEM196
1607,TFEB,TMEM35
1608,TGFA,TMEM38A
1609,TGFB2,TMEM48
1610,TGFB3,TMEM55B
1611,TGFBR3,TMEM59L
1612,TGIF1,TMEM62
1613,TGIF2,TMEM63B
1614,THAP9,TMEM63C
1615,THBS4,TMEM64
1616,THNSL2,TMEM65
1617,THOC2,TMEM70
1618,THSD1,TMEM74
1619,TIMP1,TMEM86A
1620,TIMP3,TMSL3
1621,TIMP4,TMTC1
1622,TIPARP,TNFRSF21
1623,TJP1,TNFSF10
1624,TJP2,TOLLIP
1625,TLCD1,TOMM20
1626,TLCD2,TOMM70A
1627,TLR2,TOR1A
1628,TLR4,TPBG
1629,TMBIM1,TPI1
1630,TMCO4,TPM1
1631,TMEM100,TPRG1L
1632,TMEM104,TPX2
1633,TMEM123,TRAM1L1
1634,TMEM133,TRAPPC4
1635,TMEM150A,TRAPPC6B
1636,TMEM176A,TREM2
1637,TMEM176B,TRHDE
1638,TMEM212,TRIM17
1639,TMEM218,TRIM3
1640,TMEM220,TRIM32
1641,TMEM39A,TRIM36
1642,TMEM47,TRIM37
1643,TMEM98,TRIM54
1644,TMEM99,TRMT12
1645,TMPRSS5,TRPC6
1646,TMTC2,TRPM2
1647,TNFAIP3,TRUB1
1648,TNFRSF10D,TSNAX
1649,TNFRSF1A,TSPAN13
1650,TNFRSF6B,TSPAN2
1651,TNFSF13,TSPYL1
1652,TNIK,TSPYL4
1653,TNIP2,TSSC1
1654,TNR,TSTA3
1655,TNS3,TTC19
1656,TNXB,TTC39A
1657,TOB2,TTC9
1658,TOX3,TTC9B
1659,TP53,TTC9C
1660,TP53BP2,TUBA1A
1661,TP53I3,TUBA1B
1662,TP53INP1,TUBA4A
1663,TP53INP2,TUBA8
1664,TP53TG1,TUBB
1665,TPCN1,TUBB2A
1666,TPD52L1,TUBB3
1667,TPP1,TUBBP5
1668,TPTE2P2,TUBG1
1669,TRAF3IP2,TUBGCP5
1670,TRAF3IP2-AS1,TUSC3
1671,TRAF4,TWF2
1672,TRIL,UAP1
1673,TRIM16L,UBASH3B
1674,TRIM21,UBE2E2
1675,TRIM25,UBE2O
1676,TRIM47,UBE2QL1
1677,TRIM5,UBE2T
1678,TRIM56,UBE2V2
1679,TRIM7,UBL4A
1680,TRIP11,UBL7
1681,TRIP4,UBQLN1
1682,TRIP6,UBR3
1683,TROVE2,UCHL1
1684,TRPM3,UCK2
1685,TRPS1,ULK4
1686,TRPV1,UNC13A
1687,TSHZ1,UNC5A
1688,TSIX,UNC5D
1689,TSPAN11,UQCC
1690,TSPAN12,UQCRFS1
1691,TSPAN6,USP43
1692,TTC18,USP5
1693,TTC38,UTP18
1694,TTLL4,VAMP1
1695,TTPA,VAMP2
1696,TTYH2,VAT1L
1697,TUBB2B,VAX1
1698,TUBB6,VDAC1
1699,TULP3,VGF
1700,TUT1,VILL
1701,TXNIP,VIPR1
1702,UACA,VIT
1703,UBE2Q2P1,VKORC1L1
1704,UBXN2A,VMP1
1705,UCKL1-AS1,VPS26B
1706,UCN,VPS33A
1707,UEVLD,VPS35
1708,UG0898H09,VRK1
1709,UNC13C,VSIG4
1710,UNC13D,VSNL1
1711,UNC93B1,VSTM2A
1712,UNG,VSTM2L
1713,UPF3B,VWC2
1714,USP24,VWCE
1715,USP3,WARS
1716,USP38,WASF1
1717,USP40,WBSCR17
1718,USP49,WDR16
1719,USP54,WDR18
1720,USP6,WDR25
1721,VAMP3,WDR46
1722,VAMP5,WDR47
1723,VANGL2,WDR61
1724,VAV3,WDR69
1725,VCAN,WDR7
1726,VEGFA,WDR86
1727,VEZF1,WNT10A
1728,VRK2,WNT10B
1729,VSIG1,WNT2
1730,VSIG10,WRAP53
1731,WASF2,WSCD2
1732,WASH3P,WTH3DI
1733,WBP5,XK
1734,WDFY2,YARS
1735,WIF1,YIPF5
1736,WIPF1,YPEL4
1737,WIPI1,YWHAB
1738,WIZ,YWHAG
1739,WLS,YWHAH
1740,WNK1,YWHAZ
1741,WNT7B,ZBTB22
1742,WSCD1,ZC3H10
1743,WWC3,ZCCHC12
1744,WWTR1,ZDHHC23
1745,XAF1,ZFP64
1746,XKR9,ZFYVE27
1747,XPNPEP3,ZMAT4
1748,XRCC3,ZNF184
1749,XYLB,ZNF235
1750,YAP1,ZNF25
1751,YES1,ZNF26
1752,ZBED6,ZNF329
1753,ZBTB10,ZNF365
1754,ZBTB12,ZNF385B
1755,ZBTB16,ZNF418
1756,ZBTB20,ZNF454
1757,ZC3H12C,ZNF48
1758,ZC3H13,ZNF488
1759,ZC3H8,ZNF593
1760,ZC3HAV1,ZNF642
1761,ZCCHC11,ZNF689
1762,ZCCHC24,ZNF702P
1763,ZCCHC6,ZNF815
1764,ZCWPW2,ZNF831
1765,ZDHHC11,ZNF833P
1766,ZDHHC2,ZNHIT2
1767,ZEB1,ZSCAN1
1768,ZEB2,ZWILCH
1769,ZFC3H1,
1770,ZFHX4,
1771,ZFP2,
1772,ZFP36,
1773,ZFP36L1,
1774,ZFP36L2,
1775,ZFP37,
1776,ZFYVE21,
1777,ZGLP1,
1778,ZHX2,
1779,ZHX3,
1780,ZIC1,
1781,ZIC2,
1782,ZIC4,
1783,ZIC5,
1784,ZMAT1,
1785,ZMYND12,
1786,ZNF107,
1787,ZNF114,
1788,ZNF117,
1789,ZNF160,
1790,ZNF17,
1791,ZNF181,
1792,ZNF20,
1793,ZNF200,
1794,ZNF208,
1795,ZNF217,
1796,ZNF22,
1797,ZNF24,
1798,ZNF268,
1799,ZNF274,
1800,ZNF28,
1801,ZNF292,
1802,ZNF300,
1803,ZNF302,
1804,ZNF326,
1805,ZNF334,
1806,ZNF37A,
1807,ZNF383,
1808,ZNF397,
1809,ZNF420,
1810,ZNF423,
1811,ZNF43,
1812,ZNF432,
1813,ZNF438,
1814,ZNF462,
1815,ZNF468,
1816,ZNF471,
1817,ZNF480,
1818,ZNF483,
1819,ZNF492,
1820,ZNF516,
1821,ZNF518A,
1822,ZNF521,
1823,ZNF525,
1824,ZNF532,
1825,ZNF534,
1826,ZNF543,
1827,ZNF548,
1828,ZNF552,
1829,ZNF556,
1830,ZNF577,
1831,ZNF578,
1832,ZNF594,
1833,ZNF599,
1834,ZNF608,
1835,ZNF616,
1836,ZNF618,
1837,ZNF619,
1838,ZNF620,
1839,ZNF621,
1840,ZNF624,
1841,ZNF652,
1842,ZNF654,
1843,ZNF662,
1844,ZNF664,
1845,ZNF665,
1846,ZNF680,
1847,ZNF69,
1848,ZNF701,
1849,ZNF709,
1850,ZNF710,
1851,ZNF761,
1852,ZNF765,
1853,ZNF766,
1854,ZNF775,
1855,ZNF788,
1856,ZNF790,
1857,ZNF799,
1858,ZNF81,
1859,ZNF823,
1860,ZNF83,
1861,ZNF841,
1862,ZNF844,
1863,ZNF846,
1864,ZNF85,
1865,ZNF850,
1866,ZNF879,
1867,ZNF880,
1868,ZNRD1-AS1,
1869,ZNRF3,
1870,ZRSR2,
1871,ZSWIM6,
