Gene,"P value (EDASeq  normalized gene estimates in a ISV, age sex, site and brain region adjusted model)",Mean Expression (log2),Beta,Standard Error,,
TLE4,5.17E-03,8.91,0.44,0.17,,
SCUBE2,5.18E-03,5.71,-0.53,0.21,,
CYB5A,5.20E-03,8.34,-0.34,0.13,,
CTD.2162K18.5,5.20E-03,4.94,-0.70,0.28,,
YTHDF1,5.21E-03,8.71,0.24,0.09,,
J01415.11,5.23E-03,6.84,1.14,0.36,,
TMEM125,5.23E-03,7.91,0.27,0.11,,
MRPS24,5.28E-03,9.99,0.19,0.08,,
EFNA2,5.29E-03,4.55,-0.61,0.24,,
RPL14P1,5.30E-03,9.48,-0.28,0.11,,
CYTH3,5.31E-03,9.11,-0.30,0.11,,
FBXW7,5.31E-03,13.41,0.38,0.13,,
DPP6,5.33E-03,12.61,0.23,0.08,,
HADHA,5.33E-03,10.92,-0.23,0.09,,
C8orf42,5.34E-03,7.03,0.58,0.22,,
C6orf228,5.36E-03,8.40,0.38,0.15,,
PCNXL2,5.39E-03,11.00,0.29,0.10,,
MVP,5.40E-03,8.22,0.28,0.11,,
SLC26A4.AS1,5.45E-03,8.65,0.43,0.16,,
ST13P5,5.48E-03,5.27,-0.59,0.23,,
CBLB,5.48E-03,7.12,-0.57,0.22,,
DCAF10,5.52E-03,8.67,0.47,0.18,,
TRAM1,5.54E-03,5.79,-0.77,0.30,,
UBQLN2,5.55E-03,8.96,0.22,0.08,,
PITPNA.AS1,5.57E-03,4.18,0.61,0.23,,
SMUG1,5.60E-03,8.08,0.28,0.11,,
NELL2,5.61E-03,12.37,0.31,0.12,,
B3GALNT1,5.61E-03,8.19,0.50,0.19,,
C9orf89,5.63E-03,8.70,-0.30,0.11,,
AGXT2L2,5.67E-03,6.37,0.34,0.13,,
HLA.DRB1,5.67E-03,7.92,0.87,0.28,,
BROX,5.68E-03,9.03,-0.37,0.14,,
UBE2L6,5.69E-03,9.28,0.24,0.09,,
RAB20,5.70E-03,5.64,-0.61,0.27,,
BST2,5.71E-03,7.36,0.50,0.18,,
SMARCA1,5.71E-03,9.15,-0.33,0.13,,
SPRYD3,5.72E-03,10.87,0.17,0.06,,
POLR3F,5.73E-03,7.27,0.47,0.17,,
RBM14,5.77E-03,8.82,0.25,0.10,,
PLLP,5.83E-03,10.07,0.31,0.10,,
MCF2L2,5.90E-03,7.83,-0.49,0.19,,
NDST1,5.92E-03,8.82,-0.24,0.09,,
ANKRD34C,5.93E-03,5.85,0.67,0.27,,
TXNL4B,5.94E-03,7.52,0.40,0.16,,
ZC3H7A,5.94E-03,7.53,-0.40,0.16,,
C2CD2,6.01E-03,7.56,0.30,0.11,,
CSMD3,6.02E-03,7.31,-0.48,0.19,,
TBC1D16,6.03E-03,8.44,-0.23,0.10,,
FAM123A,6.05E-03,10.50,0.21,0.08,,
FAM208A,6.05E-03,8.20,0.42,0.16,,
TCEAL3,6.05E-03,11.92,-0.27,0.10,,
ZNF385A,6.07E-03,9.91,-0.23,0.09,,
ERAL1,6.08E-03,8.49,0.20,0.08,,
GABARAPL1,6.08E-03,12.23,0.20,0.07,,
TK2,6.10E-03,8.59,0.28,0.11,,
SPON2,6.17E-03,5.86,-0.66,0.26,,
TXNDC9,6.18E-03,6.13,-0.67,0.26,,
DSP,6.22E-03,5.73,0.92,0.36,,
LAMP1,6.28E-03,10.71,0.20,0.07,,
PI4K2A,6.30E-03,9.69,-0.21,0.08,,
GCA,6.32E-03,8.12,0.40,0.16,,
DIRC2,6.34E-03,6.16,-0.74,0.28,,
CTD.2562J17.4,6.34E-03,5.67,0.48,0.19,,
SLC22A18,6.34E-03,5.36,0.61,0.23,,
SLC17A7,6.35E-03,11.99,0.28,0.10,,
NINL,6.35E-03,6.37,-0.39,0.15,,
LRRC6,6.37E-03,4.88,-1.03,0.36,,
KPNA6,6.38E-03,10.16,0.23,0.08,,
TRAK2,6.38E-03,10.38,-0.40,0.16,,
PDE1C,6.40E-03,8.15,0.42,0.17,,
PHKB,6.41E-03,8.96,0.40,0.15,,
AUH,6.44E-03,7.23,0.61,0.22,,
CXXC4,6.49E-03,9.00,0.37,0.14,,
NBAS,6.51E-03,9.70,0.31,0.12,,
LDOC1L,6.52E-03,8.10,0.27,0.11,,
SLC12A6,6.52E-03,5.12,-0.80,0.32,,
CBLL1,6.54E-03,7.31,-0.67,0.27,,
SNAP91,6.56E-03,12.34,0.31,0.12,,
CCDC69,6.57E-03,7.33,-0.42,0.17,,
ARPP19,6.61E-03,12.88,0.23,0.09,,
PRPF38B,6.62E-03,9.69,-0.47,0.18,,
TMBIM6,6.63E-03,11.96,0.19,0.07,,
EFTUD1,6.64E-03,5.87,-0.66,0.26,,
BMP2,6.67E-03,5.55,0.58,0.23,,
UBE2L3,6.69E-03,10.25,0.14,0.05,,
HEXDC,6.71E-03,7.25,0.36,0.12,,
EEPD1,6.71E-03,7.94,-0.32,0.12,,
C19orf57,6.73E-03,4.62,0.60,0.24,,
WDR34,6.74E-03,8.25,0.28,0.11,,
SHANK3,6.75E-03,10.10,-0.25,0.10,,
KCNK1,6.76E-03,9.43,0.42,0.15,,
HIATL1,6.78E-03,7.03,0.53,0.21,,
ZCCHC3,6.78E-03,4.80,-0.47,0.19,,
EIF2B5,6.79E-03,8.92,0.22,0.09,,
HDHD2,6.79E-03,7.82,-0.70,0.28,,
PLK5,6.80E-03,4.75,-0.58,0.22,,
ZNF282,6.81E-03,7.78,-0.24,0.09,,
TNRC6C,6.88E-03,9.89,0.27,0.10,,
MAPK6,6.93E-03,8.26,0.37,0.15,,
GGCT,6.95E-03,8.27,0.40,0.16,,
FKBP1A,6.95E-03,11.06,0.15,0.06,,
RAD9A,6.99E-03,5.57,-0.34,0.13,,
CLU,7.01E-03,16.10,0.41,0.15,,
AHDC1,7.07E-03,8.25,0.25,0.10,,
MXRA8,7.07E-03,7.19,-0.32,0.13,,
USP5,7.11E-03,10.48,0.19,0.08,,
SLC44A1,7.13E-03,11.26,0.23,0.09,,
TSN,7.14E-03,8.83,0.29,0.12,,
RPL21,7.14E-03,6.03,-0.59,0.20,,
LARGE,7.16E-03,9.79,0.33,0.13,,
SBDS,7.19E-03,9.52,-0.33,0.13,,
ANKRD13D,7.21E-03,9.17,-0.20,0.07,,
TCFL5,7.21E-03,8.36,0.38,0.15,,
PLIN3,7.28E-03,7.66,0.39,0.16,,
PANK1,7.29E-03,5.27,0.61,0.24,,
RAB9B,7.29E-03,7.17,0.48,0.20,,
RASL10A,7.29E-03,9.51,0.25,0.10,,
TMEM175,7.31E-03,9.16,-0.24,0.09,,
TYW1,7.31E-03,6.26,-0.44,0.16,,
PES1,7.32E-03,9.51,-0.20,0.08,,
NPAS3,7.33E-03,8.85,0.44,0.18,,
MAP3K9,7.33E-03,9.32,0.33,0.12,,
EML6,7.33E-03,6.52,0.75,0.29,,
AC005795.1,7.34E-03,6.77,-0.49,0.20,,
C8orf40,7.37E-03,8.16,0.32,0.12,,
GNPTG,7.41E-03,9.63,-0.23,0.07,,
YBX1,7.43E-03,11.23,-0.25,0.10,,
IFITM1,7.46E-03,5.96,0.61,0.23,,
DHRS4L2,7.46E-03,7.65,-0.40,0.15,,
RP11.635N19.1,7.47E-03,6.55,0.55,0.22,,
SYT13,7.52E-03,10.00,0.26,0.11,,
AP2S1,7.53E-03,11.48,0.17,0.07,,
CTA.217C2.1,7.54E-03,7.39,-0.43,0.17,,
UIMC1,7.57E-03,7.02,-0.50,0.20,,
ISLR2,7.57E-03,8.45,0.35,0.14,,
ARX,7.58E-03,7.09,-0.34,0.14,,
TGFBR3L,7.58E-03,8.44,0.30,0.11,,
NAA25,7.59E-03,6.33,-0.43,0.18,,
LRP5,7.61E-03,5.69,-0.52,0.18,,
USP28,7.61E-03,6.16,-0.51,0.20,,
NOC2L,7.62E-03,8.78,-0.24,0.10,,
C9orf169,7.64E-03,4.73,-0.44,0.20,,
PID1,7.65E-03,9.54,0.32,0.13,,
ZNF587B,7.66E-03,4.95,0.55,0.26,,
SYT15,7.66E-03,6.89,0.37,0.15,,
EVL,7.73E-03,12.35,-0.14,0.05,,
SCYL1,7.75E-03,10.19,-0.14,0.06,,
IRF1,7.77E-03,4.57,-0.50,0.21,,
PDGFC,7.78E-03,7.02,0.45,0.18,,
FERMT2,7.79E-03,8.67,0.39,0.16,,
ARMC7,7.80E-03,7.35,-0.24,0.10,,
NISCH,7.83E-03,11.07,0.23,0.08,,
PHTF1,7.84E-03,6.27,-0.70,0.28,,
PIGP,7.86E-03,6.16,-0.73,0.27,,
KCTD17,7.87E-03,10.04,0.16,0.06,,
C5orf44,7.87E-03,8.13,-0.39,0.16,,
SARM1,7.88E-03,5.59,-0.49,0.20,,
RNF187,7.93E-03,11.92,0.14,0.05,,
ZKSCAN1,7.94E-03,9.78,0.37,0.11,,
B3GNT1,7.95E-03,10.93,0.20,0.07,,
PLCXD3,7.95E-03,7.45,0.57,0.23,,
DEF8,7.97E-03,9.11,-0.20,0.08,,
CCDC24,7.97E-03,7.04,0.28,0.11,,
AQP5,8.00E-03,4.08,-0.54,0.22,,
SCP2,8.02E-03,7.93,-0.47,0.19,,
B3GALT2,8.04E-03,9.16,0.42,0.16,,
TMED10,8.05E-03,9.91,0.24,0.09,,
C2orf44,8.05E-03,6.07,0.57,0.22,,
CACUL1,8.07E-03,8.72,0.35,0.14,,
RP11.480I12.5,8.07E-03,5.01,0.55,0.23,,
SYCP2,8.09E-03,6.35,0.72,0.26,,
ZNF25,8.12E-03,8.28,-0.42,0.16,,
NFKBIE,8.13E-03,6.80,-0.35,0.14,,
CHMP3,8.13E-03,11.39,0.24,0.10,,
FADS3,8.14E-03,8.20,0.23,0.09,,
EPG5,8.17E-03,6.96,-0.53,0.22,,
NPLOC4,8.18E-03,10.05,-0.13,0.06,,
ANXA11,8.18E-03,10.06,0.22,0.08,,
SUB1,8.18E-03,9.90,0.24,0.10,,
LRRC2,8.19E-03,7.01,0.60,0.23,,
EIF3FP3,8.22E-03,7.70,0.30,0.12,,
IRS2,8.24E-03,10.33,0.22,0.09,,
SLC25A51,8.27E-03,6.62,0.57,0.22,,
ADO,8.28E-03,8.43,0.29,0.12,,
AC004447.2,8.37E-03,6.24,-0.39,0.16,,
YME1L1,8.38E-03,9.16,-0.35,0.14,,
HSD3B7,8.44E-03,4.85,0.47,0.19,,
SSNA1,8.44E-03,9.72,-0.17,0.06,,
SRA1,8.46E-03,9.31,-0.26,0.10,,
C19orf60,8.48E-03,10.65,-0.15,0.06,,
RPL12,8.51E-03,10.42,0.24,0.10,,
PURB,8.55E-03,10.01,0.27,0.11,,
SALL2,8.57E-03,8.29,-0.30,0.12,,
CAST,8.60E-03,8.23,-0.25,0.13,,
SOX9,8.60E-03,8.03,0.36,0.15,,
ZNF638,8.62E-03,9.94,-0.31,0.13,,
MAPK1,8.62E-03,10.57,0.22,0.08,,
DHX8,8.63E-03,8.65,0.21,0.08,,
HRK,8.68E-03,7.77,0.31,0.12,,
TRAF3IP1,8.71E-03,8.48,-0.22,0.10,,
STIM1,8.71E-03,10.30,0.22,0.09,,
RAB4A,8.73E-03,8.61,-0.34,0.13,,
AIFM3,8.76E-03,9.49,-0.30,0.12,,
CPNE9,8.76E-03,8.90,0.21,0.09,,
ATG16L2,8.76E-03,7.47,-0.33,0.11,,
LRRC1,8.78E-03,5.15,0.70,0.29,,
PODXL,8.81E-03,6.90,0.47,0.18,,
ITGA5,8.84E-03,5.01,-0.54,0.22,,
CHI3L1,8.84E-03,5.98,0.72,0.27,,
MRPS6,8.84E-03,8.45,-0.41,0.17,,
IFFO1,8.93E-03,7.64,-0.31,0.11,,
APBB3,8.98E-03,9.32,0.22,0.09,,
NPM1,9.08E-03,9.40,-0.27,0.11,,
DNAJC16,9.10E-03,7.94,0.36,0.14,,
SUDS3,9.12E-03,9.06,0.19,0.08,,
CLN5,9.14E-03,6.76,0.51,0.22,,
SOX21,9.16E-03,5.20,0.40,0.17,,
RP11.863K10.4,9.16E-03,5.36,-0.58,0.24,,
RP11.199A1.1,9.17E-03,6.20,-0.57,0.24,,
HSPA12A,9.18E-03,9.74,0.31,0.11,,
MED15,9.19E-03,9.76,-0.15,0.06,,
PLXNA1,9.21E-03,8.66,-0.27,0.11,,
SENP7,9.24E-03,4.40,-0.70,0.29,,
MEGF6,9.25E-03,4.18,0.51,0.23,,
RNF6,9.27E-03,7.90,0.44,0.18,,
EVA1B,9.29E-03,5.90,-0.38,0.15,,
FOS,9.31E-03,7.41,-0.76,0.29,,
MPP5,9.34E-03,7.98,0.62,0.24,,
CPEB4,9.37E-03,8.99,-0.42,0.18,,
RANBP6,9.42E-03,7.42,0.54,0.22,,
PPDPF,9.44E-03,11.01,0.25,0.09,,
PLIN1,9.45E-03,4.12,-0.59,0.24,,
IFITM3,9.48E-03,9.80,0.50,0.17,,
RP11.758C21.1,9.54E-03,6.62,0.39,0.17,,
DTX4,9.55E-03,8.85,0.28,0.11,,
AMBRA1,9.61E-03,9.12,0.28,0.12,,
TMEM108,9.70E-03,8.13,-0.50,0.21,,
NTM,9.72E-03,11.30,0.15,0.06,,
TPD52,9.75E-03,9.71,0.35,0.15,,
ZDHHC8P1,9.77E-03,6.59,0.34,0.13,,
RP11.3J10.4,9.77E-03,7.14,-0.51,0.21,,
PARP6,9.78E-03,9.94,0.21,0.09,,
EGLN2,9.83E-03,7.75,0.28,0.12,,
RP11.999E24.3,9.89E-03,8.94,-0.34,0.13,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
