WNT6,"wingless-type MMTV integration site family, member 6",A_23_P119916,NM_006522,"chr2 (219,549,981-219,564,471)",0.0000101
PORCN,porcupine homolog (Drosophila),A_23_P11071,NM_203473,"chrX (48,123,625-48,135,456)",0.0000103
C20orf24,chromosome 20 open reading frame 24,A_24_P194184,NM_199484,"chr20 (34,667,551-34,674,386)",0.0000103
KIAA0870,KIAA0870 protein,A_32_P175301,NM_014957,"chr8 (142,207,930-142,275,080)",0.0000105
AK057088,,A_24_P554156,b,"chr6 (34,358,031-34,362,717)",0.0000106
ENST00000307507,,A_32_P68533,ns,,0.0000107
C9orf24,chromosome 9 open reading frame 24,A_23_P217009,NM_032596,"chr9 (34,369,020-34,387,854)",0.0000109
BM726442,,A_32_P405942,b,,0.000011
SSR4,"signal sequence receptor, delta (translocon-associated protein delta)",A_23_P259172,NM_006280,"chrX (152,580,990-152,584,735)",0.0000112
BIRC3,baculoviral IAP repeat-containing 3,A_23_P98350,NM_001165,"chr11 (101,699,906-101,713,713)",0.0000112
ADAMTS4,"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4",A_24_P128163,b,"chr1 (157,979,357-157,981,490)",0.0000112
DYRK3,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3,A_24_P345209,NM_001004023,"chr1 (203,197,290-203,210,854)",0.0000112
LOC283226,,A_24_P650562,XM_208554,,0.0000113
BAHD1,bromo adjacent homology domain containing 1,A_23_P117928,NM_014952,"chr15 (38,520,703-38,547,745)",0.0000116
BQ189193,,A_23_P166280,b,"chr21 (44,467,016-44,467,996)",0.0000116
RERE,arginine-glutamic acid dipeptide (RE) repeats,A_24_P342591,NM_012102,"chr1 (8,348,311-8,418,013)",0.0000117
LOC387882,hypothetical protein,A_32_P163089,NM_207376,"chr12 (104,226,907-104,267,770)",0.0000117
NSEP1,nuclease sensitive element binding protein 1,A_23_P34767,NM_004559,"chr1 (42,817,192-42,837,106)",0.0000118
GNG2,"guanine nucleotide binding protein (G protein), gamma 2",A_32_P208403,NM_053064,,0.0000119
A_32_P217346,,A_32_P217346,b,,0.0000119
OSM,oncostatin M,A_23_P166408,NM_020530,"chr22 (28,983,369-28,987,394)",0.0000122
Supplemental table S2. Continued,,,,,
symbol,GeneName,ProbeName,RefSeq,loci,P-value
PGM2,phosphoglucomutase 2,A_23_P7172,NM_018290,"chr4 (37,650,847-37,686,343)",0.0000122
ETEA,expressed in T-cells and eosinophils in atopic dermatitis,A_24_P294719,NM_014613,"chr5 (175,807,957-175,867,823)",0.0000122
FLJ10511,armadillo repeat containing 1,A_32_P234827,NM_018120,,0.0000122
G3BP2,Ras-GTPase activating protein SH3 domain-binding protein 2,A_23_P41255,NM_203505,"chr4 (76,927,365-76,955,741)",0.0000126
LOC387746,,A_32_P69333,b,,0.0000127
NRG2,neuregulin 2,A_23_P213699,NM_013982,,0.0000129
A_24_P238427,,A_24_P238427,,,0.0000129
WWP1,WW domain containing E3 ubiquitin protein ligase 1,A_23_P146990,NM_007013,,0.000013
BM989848,,A_32_P3021,b,,0.000013
RAB11FIP4,RAB11 family interacting protein 4 (class II),A_23_P27023,NM_032932,"chr17 (26,874,743-26,882,870)",0.0000132
ZCCHC4,"zinc finger, CCHC domain containing 4",A_24_P248863,b,"chr4 (25,027,365-25,048,278)",0.0000135
ATXN7L2,ataxin 7-like 2,A_23_P317200,NM_153340,"chr1 (109,738,603-109,747,427)",0.0000137
FUBP3,far upstream element (FUSE) binding protein 3,A_24_P203710,b,"chr9 (130,484,532-130,543,295)",0.0000139
GJA10,"gap junction protein, alpha 10, 59kDa",A_23_P74828,NM_030772,"chr1 (38,999,268-39,016,391)",0.0000141
LOC89231,dpy-19-like 1 pseudogene 1 (C. elegans),A_24_P453921,b,"chr7 (32,393,795-32,539,337)",0.0000141
MCCC1,methylcrotonoyl-Coenzyme A carboxylase 1 (alpha),A_23_P58036,NM_020166,"chr3 (184,215,371-184,300,096)",0.0000142
TRAF1,TNF receptor-associated factor 1,A_24_P89891,NM_005658,"chr9 (120,744,226-120,770,601)",0.0000143
A_32_P10067,,A_32_P10067,hc,"chr1 (147,395,115-147,395,938)",0.0000144
C9orf94,chromosome 9 open reading frame 94,A_23_P342138,NM_152702,"chr9 (18,816,136-18,900,374)",0.0000145
CCL22,chemokine (C-C motif) ligand 22,A_24_P313418,NM_002990,"chr16 (55,950,156-55,957,607)",0.0000148
LOC255809,similar to HIDE1,A_23_P142055,b,"chr19 (10,820,069-10,841,546)",0.0000154
CAMLG,calcium modulating ligand,A_23_P213728,NM_001745,"chr5 (134,112,643-134,114,569)",0.0000155
