Symbol,GeneName,ProbeName,RefSeq,SAM rank
G3BP2,Ras-GTPase activating protein SH3 domain-binding protein 2,A_23_P41255,NM_203505,400
HSD11B1,hydroxysteroid (11-beta) dehydrogenase 1,A_23_P63209,NM_181755,401
LOC197336,similar to RIKEN cDNA 3230401M21 [Mus musculus],A_23_P373992,NM_145294,402
BF083139,,A_32_P83305,b,403
PEX26,peroxisome biogenesis factor 26,A_24_P142973,NM_017929,404
C21orf42,chromosome 21 open reading frame 42,A_23_P132057,NM_058184,405
IRS1,insulin receptor substrate 1,A_24_P225679,NM_005544,406
SLC2A4RG,SLC2A4 regulator,A_23_P102571,NM_020062,407
FLJ39441,hypothetical protein FLJ39441,A_23_P328237,NM_194285,408
THC2265983,,A_24_P97257,hc,409
ENO3,"enolase 3 (beta, muscle)",A_23_P130149,NM_001976,410
OTUD1,OTU domain containing 1,A_32_P60459,b,411
ZNF630,zinc finger protein 630,A_32_P199767,b,412
LRRC21,leucine rich repeat containing 21,A_23_P115780,NM_015613,413
CLIC6,chloride intracellular channel 6,A_23_P385067,NM_053277,414
DFNA5,"deafness, autosomal dominant 5",A_23_P82449,NM_004403,415
S100A11,S100 calcium binding protein A11 (calgizzarin),A_23_P145863,NM_005620,416
DJ971N18.2,hypothetical protein DJ971N18.2,A_23_P166100,NM_021156,417
LOC51123,HSPC038 protein,A_23_P252704,NM_016096,418
TNFSF13,"tumor necrosis factor (ligand) superfamily, member 13",A_23_P152620,NM_172088,419
FLJ13231,hypothetical protein FLJ13231,A_32_P226009,NM_023073,420
TRAF3,TNF receptor-associated factor 3,A_32_P89837,b,421
ENST00000355650,,A_24_P358619,ns,422
BQ015409,,A_24_P724153,b,423
LOC90835,hypothetical protein LOC90835,A_24_P842006,NM_001014979,424
FTL,"ferritin, light polypeptide",A_23_P50498,NM_000146,425
STK23,serine/threonine kinase 23,A_23_P114381,NM_014370,426
ENST00000346571,,A_24_P922808,ns,427
A_24_P75948,,A_24_P75948,0,428
BLVRA,biliverdin reductase A,A_23_P71148,NM_000712,429
WFDC2,WAP four-disulfide core domain 2,A_24_P14464,NM_080736,430
HYI,hydroxypyruvate isomerase homolog (E. coli),A_23_P160582,NM_031207,431
RPL14,ribosomal protein L14,A_32_P81149,NM_003973,432
AF086286,,A_24_P302406,b,433
A_32_P233713,,A_32_P233713,0,434
A_23_P112957,,A_23_P112957,0,435
MGC5457,hypothetical protein MGC5457,A_23_P23234,b,436
SLC9A3R2,"solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 2",A_24_P364838,b,437
A_24_P161773,,A_24_P161773,0,438
ZNF429,zinc finger protein 429,A_23_P95736,NM_001001415,439
NETO2,neuropilin (NRP) and tolloid (TLL)-like 2,A_23_P3681,NM_018092,440
Z18824,,A_24_P204727,b,441
LOC202459,similar to RIKEN cDNA 2310008M10,A_24_P317450,NM_145303,442
DCST2,DC-STAMP domain containing 2,A_23_P314798,NM_144622,443
ENST00000295410,,A_24_P626951,ns,444
BC017937,,A_24_P350708,b,445
CR603201,,A_24_P54847,b,446
PORCN,porcupine homolog (Drosophila),A_23_P11071,NM_203473,447
A_24_P7111,,A_24_P7111,0,448
ORC4L,"origin recognition complex, subunit 4-like (yeast)",A_23_P131149,NM_002552,449
LOC440234,similar to hypothetical protein,A_32_P42236,b,450
PPM1A,"protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform",A_23_P151679,NM_021003,451
TNFRSF12A,"tumor necrosis factor receptor superfamily, member 12A",A_23_P49338,NM_016639,452
RSHL2,radial spokehead-like 2,A_23_P59397,NM_031924,453
H2AFV,"H2A histone family, member V",A_23_P145904,NM_012412,454
EPC2,enhancer of polycomb homolog 2 (Drosophila),A_23_P359738,NM_015630,455
BQ029628,,A_32_P64263,b,456
ANKRD2,ankyrin repeat domain 2 (stretch responsive muscle),A_24_P188116,NM_020349,457
AF086442,,A_23_P156996,b,458
FLJ32642,hepatocellular carcinoma related protein 1,A_24_P941649,b,459
C10orf22,chromosome 10 open reading frame 22,A_23_P202345,NM_032804,460
C1orf170,chromosome 1 open reading frame 170,A_23_P135742,b,461
REPS1,RALBP1 associated Eps domain containing 1,A_23_P70748,NM_031922,462
CDKL3,cyclin-dependent kinase-like 3,A_23_P110643,NM_016508,463
UNQ6077,AAAP6077,A_24_P255516,b,464
AF038199,,A_32_P3127,b,465
GJB1,"gap junction protein, beta 1, 32kDa (connexin 32, Charcot-Marie-Tooth neuropathy, X-linked)",A_23_P250444,NM_000166,466
MTPN,myotrophin,A_24_P363615,NM_145808,467
NFIX,nuclear factor I/X (CCAAT-binding transcription factor),A_23_P165295,NM_002501,468
LOC389641,hypothetical gene supported by AK124295,A_32_P154091,b,469
CD164,"CD164 antigen, sialomucin",A_23_P254756,NM_006016,470
DERP6,S-phase 2 protein,A_23_P164289,NM_203414,471
CD8A,"CD8 antigen, alpha polypeptide (p32)",A_32_P163247,NM_001768,472
ZNF264,zinc finger protein 264,A_24_P176805,NM_003417,473
S100A11,S100 calcium binding protein A11 (calgizzarin),A_23_P126593,NM_005620,474
RAPGEF2,Rap guanine nucleotide exchange factor (GEF) 2,A_23_P133095,b,475
ZNF248,zinc finger protein 248,A_23_P35343,NM_021045,476
SPTB,"spectrin, beta, erythrocytic (includes spherocytosis, clinical type I)",A_23_P65506,NM_000347,477
ADCY1,adenylate cyclase 1 (brain),A_24_P577694,NM_021116,478
SIRT1,sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae),A_23_P98022,NM_012238,479
RPL21,ribosomal protein L21,A_32_P234738,NM_000982,480
TUBA4,"tubulin, alpha 4",A_23_P102109,NM_025019,481
GRM4,"glutamate receptor, metabotropic 4",A_23_P70588,NM_000841,482
ENST00000306177,,A_24_P135276,ns,483
ENST00000216649,,A_24_P315854,ns,484
CR594200,,A_32_P196036,b,485
ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",A_23_P202269,NM_020987,486
PIR,pirin (iron-binding nuclear protein),A_23_P137035,NM_003662,487
CMKLR1,chemokine-like receptor 1,A_23_P105461,NM_004072,488
TANC,"TPR domain, ankyrin-repeat and coiled-coil-containing",A_32_P135348,NM_033394,489
ENST00000360592,,A_24_P100684,ns,490
MTMR9,myotubularin related protein 9,A_24_P261052,NM_015458,491
AF196178,,A_23_P361614,b,492
A_24_P267686,,A_24_P267686,0,493
THC2303783,,A_24_P887768,hc,494
SEPHS1,selenophosphate synthetase 1,A_23_P150092,NM_012247,495
TMEM24,transmembrane protein 24,A_23_P353056,NM_014807,496
PTPRO,"protein tyrosine phosphatase, receptor type, O",A_24_P76809,b,497
A_24_P917897,,A_24_P917897,0,498
THC2407115,,A_32_P163894,hc,499
SCIN,scinderin,A_23_P157136,NM_033128,500
BX956036,,A_32_P69333,b,501
RANBP2L1,RAN binding protein 2-like 1,A_32_P205944,NM_005054,502
RIC3,RIC3 protein,A_23_P75915,b,503
AJ295984,,A_24_P8395,b,504
THC2370450,,A_24_P503492,hc,505
GALNACT-2,chondroitin sulfate GalNAcT-2,A_23_P149892,NM_018590,506
GABRA3,"gamma-aminobutyric acid (GABA) A receptor, alpha 3",A_23_P125618,NM_000808,507
RBMS1,"RNA binding motif, single stranded interacting protein 1",A_23_P36496,NM_016836,508
BTBD7,BTB (POZ) domain containing 7,A_24_P230808,NM_001002860,509
FADS3,fatty acid desaturase 3,A_23_P64404,NM_021727,510
NRP2,neuropilin 2,A_24_P50801,NM_201264,511
ENST00000331195,,A_24_P472081,ns,512
C9orf91,chromosome 9 open reading frame 91,A_24_P4373,NM_153045,513
JMY,junction-mediating and regulatory protein,A_32_P176550,NM_152405,514
C9orf42,chromosome 9 open reading frame 42,A_23_P409516,NM_138333,515
PWWP2,PWWP domain containing 2,A_23_P374389,NM_138499,516
VPS13A,vacuolar protein sorting 13A (yeast),A_23_P217098,NM_033305,517
DLX1,distal-less homeo box 1,A_23_P403466,NM_178120,518
A_24_P67063,,A_24_P67063,0,519
ENST00000259219,,A_24_P212024,ns,520
HCG12,HLA complex group 12,A_32_P206293,b,521
KLKB1,"kallikrein B, plasma (Fletcher factor) 1",A_23_P252236,NM_000892,522
LOC151963,similar to BcDNA:GH11415 gene product,A_32_P117464,NM_178496,523
IXL,intersex-like (Drosophila),A_32_P138330,NM_017592,524
HS6ST2,heparan sulfate 6-O-sulfotransferase 2,A_24_P105191,NM_147175,525
THC2430656,,A_24_P707543,hc,526
SELL,selectin L (lymphocyte adhesion molecule 1),A_23_P103522,NM_000655,527
HIST1H4I,"histone 1, H4i",A_24_P20873,NM_003495,528
FLJ11017,hypothetical protein FLJ11017,A_23_P29975,NM_018302,529
ENST00000359488,,A_23_P21260,ns,530
ENST00000296343,,A_24_P66545,ns,531
SSX5,"synovial sarcoma, X breakpoint 5",A_23_P84359,NM_021015,532
LOC339483,hypothetical protein LOC339483,A_24_P160413,NM_178546,533
C18orf25,chromosome 18 open reading frame 25,A_23_P345361,NM_145055,534
BE709763,,A_32_P164238,b,535
RNF41,ring finger protein 41,A_23_P98884,NM_194358,536
TRAF1,TNF receptor-associated factor 1,A_24_P89891,NM_005658,537
THC2375716,,A_23_P129856,hc,538
SCAMP1,secretory carrier membrane protein 1,A_24_P42527,NM_004866,539
KIAA2022,KIAA2022 protein,A_32_P169505,NM_001008537,540
PFKM,"phosphofructokinase, muscle",A_24_P98914,NM_000289,541
AF289562,,A_24_P128361,b,542
KIAA1826,KIAA1826 protein,A_23_P116168,NM_032424,543
PPM1A,"protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform",A_24_P688133,b,544
THC2283618,,A_32_P2177,hc,545
HLA-DRA,"major histocompatibility complex, class II, DR alpha",A_32_P87697,NM_019111,546
GAL3ST1,galactose-3-O-sulfotransferase 1,A_23_P120863,NM_004861,547
AF086468,,A_32_P58601,b,548
FYN,"FYN oncogene related to SRC, FGR, YES",A_23_P502142,NM_002037,549
ZNF100,zinc finger protein 100,A_24_P151325,NM_173531,550
BF510561,,A_24_P852983,b,551
KIAA0828,KIAA0828 protein,A_23_P252075,NM_015328,552
B4GALT5,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5",A_24_P365469,NM_004776,553
SLC38A2,"solute carrier family 38, member 2",A_23_P218079,NM_018976,554
CSNK1A1L,"casein kinase 1, alpha 1-like",A_24_P338788,NM_145203,555
IL13RA1,"interleukin 13 receptor, alpha 1",A_24_P280113,NM_001560,556
CDW92,CDW92 antigen,A_23_P411806,NM_022109,557
KIAA0040,KIAA0040,A_24_P11142,NM_014656,558
AK096196,,A_24_P324054,b,559
AK127884,,A_24_P19884,b,560
PALM2-AKAP2,PALM2-AKAP2 protein,A_23_P342654,NM_147150,561
A_24_P673119,,A_24_P673119,0,562
GABARAPL2,GABA(A) receptor-associated protein-like 2,A_24_P356338,NM_007285,563
THC2410448,,A_32_P20492,hc,564
AL832717,,A_24_P944154,b,565
AK094155,,A_24_P50937,b,566
HIVEP2,human immunodeficiency virus type I enhancer binding protein 2,A_23_P214766,NM_006734,567
PBX4,pre-B-cell leukemia transcription factor 4,A_23_P90419,NM_025245,568
BC002741,,A_24_P187938,b,569
KDELR2,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2,A_23_P19936,NM_006854,570
TIP39,tuberoinfundibular 39 residue protein precursor,A_23_P357374,NM_178449,571
NAP5,Nck-associated protein 5,A_23_P360079,b,572
BC033728,,A_24_P307974,b,573
ZNF114,zinc finger protein 114,A_23_P368779,NM_153608,574
AF086126,,A_32_P97506,b,575
FEM1C,fem-1 homolog c (C.elegans),A_23_P41697,NM_020177,576
PITPNM2,"phosphatidylinositol transfer protein, membrane-associated 2",A_23_P403542,NM_020845,577
A_23_P435390,,A_23_P435390,0,578
BTN2A2,"butyrophilin, subfamily 2, member A2",A_23_P122439,NM_181531,579
MARCO,macrophage receptor with collagenous structure,A_23_P101992,NM_006770,580
TPT1,"tumor protein, translationally-controlled 1",A_24_P179351,NM_003295,581
GPR155,G protein-coupled receptor 155,A_23_P335958,NM_152529,582
BIRC5,baculoviral IAP repeat-containing 5 (survivin),A_23_P118815,NM_001012271,583
C22orf3,chromosome 22 open reading frame 3,A_23_P155009,NM_012265,584
LOC153346,hypothetical protein LOC153346,A_24_P560519,b,585
D4S234E,DNA segment on chromosome 4 (unique) 234 expressed sequence,A_23_P371107,NM_014392,586
CA314451,,A_32_P113472,b,587
DKFZP434H0115,hypothetical protein DKFZp434H0115,A_23_P73150,NM_031421,588
TUBAL3,"tubulin, alpha-like 3",A_23_P95851,NM_024803,589
RB1,retinoblastoma 1 (including osteosarcoma),A_23_P204850,NM_000321,590
CR610892,,A_32_P58491,b,591
KIAA1055,KIAA1055 protein,A_32_P361915,NM_015079,592
RAD9A,RAD9 homolog A (S. pombe),A_24_P21715,NM_004584,593
C10orf4,chromosome 10 open reading frame 4,A_24_P189464,NM_203438,594
CF139200,,A_32_P159770,b,595
ZFP36L1,"zinc finger protein 36, C3H type-like 1",A_24_P99152,NM_004926,596
GIMAP5,"GTPase, IMAP family member 5",A_23_P42588,NM_018384,597
THC2348230,,A_23_P90780,hc,598
NRD1,nardilysin (N-arginine dibasic convertase),A_23_P23006,NM_002525,599
LOC442746,similar to immune associated nucleotide 4 like 1; immunity associated protein 3,A_24_P92624,b,600
AK026965,,A_32_P378821,b,601
TMEFF2,transmembrane protein with EGF-like and two follistatin-like domains 2,A_24_P239364,b,602
HRASLS2,HRAS-like suppressor 2,A_24_P364263,NM_017878,603
BAHD1,bromo adjacent homology domain containing 1,A_23_P117928,NM_014952,604
A_32_P69993,,A_32_P69993,0,605
MYCPBP,c-myc promoter binding protein,A_24_P409265,NM_005848,606
NID67,putative small membrane protein NID67,A_23_P414273,NM_032947,607
MORC3,MORC family CW-type zinc finger 3,A_23_P325501,NM_015358,608
ENST00000246024,,A_24_P942517,ns,609
FTL,"ferritin, light polypeptide",A_32_P155247,NM_000146,610
MGC16207,hypothetical protein MGC16207,A_24_P50890,b,611
PSCD1,"pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)",A_23_P83781,NM_004762,612
TP53TG3,TP53TG3 protein,A_23_P37994,NM_015369,613
THC2355824,,A_32_P45309,hc,614
ENST00000252804,,A_23_P257144,ns,615
THC2368590,,A_32_P40250,hc,616
ZNF175,zinc finger protein 175,A_23_P332374,NM_007147,617
FLJ32679,hypothetical protein FLJ32679,A_24_P384588,NM_001012452,618
LOC440234,similar to hypothetical protein,A_32_P76853,b,619
NDFIP1,Nedd4 family interacting protein 1,A_24_P209113,NM_030571,620
CAMK4,calcium/calmodulin-dependent protein kinase IV,A_23_P250347,NM_001744,621
BTN2A2,"butyrophilin, subfamily 2, member A2",A_24_P337592,NM_181531,622
IGLL1,immunoglobulin lambda-like polypeptide 1,A_24_P83102,NM_020070,623
SAFB,scaffold attachment factor B,A_32_P164649,NM_002967,624
OAS2,"2'-5'-oligoadenylate synthetase 2, 69/71kDa",A_24_P343929,NM_016817,625
TUBA2,"tubulin, alpha 2",A_23_P128598,NM_079836,626
VSIG4,V-set and immunoglobulin domain containing 4,A_23_P217269,NM_007268,627
THC2283809,,A_32_P165363,hc,628
DRG1,developmentally regulated GTP binding protein 1,A_32_P222362,b,629
C17orf27,chromosome 17 open reading frame 27,A_23_P95172,NM_020914,630
MUC5AC,"mucin 5, subtypes A and C, tracheobronchial/gastric",A_24_P935054,b,631
HIST1H2BJ,"histone 1, H2bj",A_24_P359231,b,632
BM88,BM88 antigen,A_23_P170030,NM_016564,633
SEMA4C,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C",A_23_P114057,NM_017789,634
LOC283849,hypothetical protein LOC283849,A_24_P331655,NM_178516,635
LCHN,LCHN protein,A_23_P404821,b,636
PTPNS1,"protein tyrosine phosphatase, non-receptor type substrate 1",A_23_P210708,NM_080792,637
DNAJC18,"DnaJ (Hsp40) homolog, subfamily C, member 18",A_23_P123987,NM_152686,638
SEC14L2,SEC14-like 2 (S. cerevisiae),A_23_P17811,NM_012429,639
FLJ10803,hypothetical protein FLJ10803,A_23_P215675,NM_018224,640
AGRP,agouti related protein homolog (mouse),A_23_P502320,NM_001138,641
BC073935,,A_32_P221305,b,642
KIAA1033,KIAA1033,A_23_P394545,NM_015275,643
LOC147808,similar to zinc finger protein,A_24_P221424,NM_203374,644
GIMAP6,"GTPase, IMAP family member 6",A_23_P145631,NM_024711,645
CPXM,carboxypeptidase X (M14 family),A_23_P6066,NM_019609,646
BZRP,benzodiazapine receptor (peripheral),A_24_P134526,NM_007311,647
THC2428956,,A_24_P169713,hc,648
LOC124220,similar to common salivary protein 1,A_23_P118203,NM_145252,649
OR52B2,"olfactory receptor, family 52, subfamily B, member 2",A_23_P36203,NM_001004052,650
ENST00000330666,,A_24_P144543,ns,651
MTERFD2,MTERF domain containing 2,A_24_P186124,NM_182501,652
G3BP2,Ras-GTPase activating protein SH3 domain-binding protein 2,A_24_P128977,NM_203505,653
BC079833,,A_32_P234076,b,654
THC2293989,,A_32_P111751,hc,655
FLJ20920,hypothetical protein FLJ20920,A_23_P4190,NM_025149,656
LOC388524,similar to Laminin receptor 1,A_32_P219657,NM_001005472,657
AK2,adenylate kinase 2,A_32_P207360,NM_013411,658
THC2316236,,A_32_P109835,hc,659
IL22RA2,"interleukin 22 receptor, alpha 2",A_23_P168288,NM_052962,660
VAT1,vesicle amine transport protein 1 homolog (T californica),A_23_P26954,NM_006373,661
NBN,nibrin,A_23_P251480,NM_002485,662
TLR6,toll-like receptor 6,A_24_P17677,NM_006068,663
PRRG4,proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane),A_23_P127663,NM_024081,664
CALU,calumenin,A_23_P122815,NM_001219,665
AW302758,,A_32_P126222,b,666
DKFZP434P211,POM121-like protein,A_24_P204697,b,667
AK125269,,A_32_P37461,b,668
A_24_P75558,,A_24_P75558,0,669
ENST00000343605,,A_23_P259357,ns,670
BC069164,,A_23_P323196,b,671
TLR9,toll-like receptor 9,A_23_P132654,NM_017442,672
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_24_P772103,b,673
RAB36,"RAB36, member RAS oncogene family",A_23_P103011,NM_004914,674
IFIT5,interferon-induced protein with tetratricopeptide repeats 5,A_23_P63668,NM_012420,675
THC2435579,,A_24_P686247,hc,676
ZNF681,zinc finger protein 681,A_23_P375517,NM_138286,677
ENST00000310492,,A_23_P37654,ns,678
LOC91353,similar to omega protein,A_24_P239076,NM_001013618,679
SPAR,surfactant protein A binding protein,A_24_P63397,b,680
DPAGT1,dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase),A_23_P1775,NM_001382,681
PRKCZ,"protein kinase C, zeta",A_23_P51187,NM_002744,682
LOC390712,similar to immunoglobulin M chain,A_24_P101642,XM_372630,683
GADD45B,"growth arrest and DNA-damage-inducible, beta",A_24_P239606,NM_015675,684
AK095945,,A_32_P107463,b,685
TMEM16F,transmembrane protein 16F,A_23_P389118,NM_001025356,686
TIMD4,T-cell immunoglobulin and mucin domain containing 4,A_23_P7503,NM_138379,687
CR596670,,A_23_P97218,b,688
SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",A_23_P252764,NM_139045,689
SDC3,syndecan 3 (N-syndecan),A_23_P74887,b,690
CALM3,"calmodulin 3 (phosphorylase kinase, delta)",A_23_P4944,NM_005184,691
KIF5A,kinesin family member 5A,A_24_P227375,b,692
AA490192,,A_32_P124580,b,693
ATXN7L2,ataxin 7-like 2,A_23_P317200,NM_153340,694
PHTF1,putative homeodomain transcription factor 1,A_24_P393864,NM_006608,695
COL5A1,"collagen, type V, alpha 1",A_23_P158593,NM_000093,696
SSB1,SPRY domain-containing SOCS box protein SSB-1,A_23_P200096,NM_025106,697
AK131472,,A_32_P181513,b,698
A_24_P110487,,A_24_P110487,0,699
FLJ31978,hypothetical protein FLJ31978,A_32_P19294,NM_144669,700
BI009763,,A_24_P488649,b,701
SERPINE2,"serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2",A_23_P50919,NM_006216,702
AI870240,,A_32_P217346,b,703
AY239294,,A_23_P300479,b,704
LOC440686,similar to histone H2B histone family,A_24_P324465,NM_001025303,705
RAB1B,"RAB1B, member RAS oncogene family",A_32_P129288,NM_030981,706
PRKACB,"protein kinase, cAMP-dependent, catalytic, beta",A_24_P62708,NM_002731,707
LOC144983,heterogeneous nuclear ribonucleoprotein A1-like,A_32_P19431,NM_001011724,708
ARHGAP15,Rho GTPase activating protein 15,A_23_P255166,NM_018460,709
C1orf52,chromosome 1 open reading frame 52,A_24_P195037,NM_198077,710
PSMB6,"proteasome (prosome, macropain) subunit, beta type, 6",A_23_P15705,NM_002798,711
ZNF485,zinc finger protein 485,A_23_P115861,NM_145312,712
GMPR,guanosine monophosphate reductase,A_24_P277657,NM_006877,713
PRKCH,"protein kinase C, eta",A_23_P205567,NM_006255,714
BBS2,Bardet-Biedl syndrome 2,A_23_P106835,NM_031885,715
RFK,riboflavin kinase,A_23_P216708,NM_018339,716
D15Wsu75e,"DNA segment, Chr 15, Wayne State University 75, expressed",A_23_P356330,NM_015704,717
RNF5,ring finger protein 5,A_23_P8095,NM_006913,718
THC2316487,,A_32_P224358,hc,719
RERE,arginine-glutamic acid dipeptide (RE) repeats,A_24_P342591,NM_012102,720
CYB5R2,cytochrome b5 reductase 2,A_23_P2181,NM_001001336,721
MT1K,metallothionein 1K,A_23_P66241,NM_176870,722
TNFRSF21,"tumor necrosis factor receptor superfamily, member 21",A_23_P42065,NM_014452,723
PAQR8,progestin and adipoQ receptor family member VIII,A_23_P214281,NM_133367,724
HSPB1,heat shock 27kDa protein 1,A_32_P76247,NM_001540,725
PARD6A,par-6 partitioning defective 6 homolog alpha (C.elegans),A_23_P140821,NM_016948,726
AF063695,,A_24_P465799,b,727
AY358802,,A_24_P933794,b,728
LOC151835,copine family member,A_23_P57829,NM_153635,729
AK094571,,A_24_P127954,b,730
ENST00000324460,,A_24_P401090,ns,731
FCRL5,Fc receptor-like 5,A_24_P376848,NM_031281,732
ENST00000304465,,A_24_P357869,ns,733
FLJ12584,melanoma/melanocyte specific protein KU-MEL-1,A_23_P209731,NM_025139,734
WWP1,WW domain containing E3 ubiquitin protein ligase 1,A_23_P146990,NM_007013,735
TM7SF1,transmembrane 7 superfamily member 1 (upregulated in kidney),A_23_P46149,NM_003272,736
ACP5,"acid phosphatase 5, tartrate resistant",A_23_P142075,NM_001611,737
THC2373936,,A_23_P87810,hc,738
MGC7036,hypothetical protein MGC7036,A_23_P76109,NM_145058,739
RNF26,ring finger protein 26,A_23_P64630,NM_032015,740
SERTAD2,SERTA domain containing 2,A_24_P294124,NM_014755,741
ENST00000263956,,A_23_P56437,ns,742
ENST00000328043,,A_24_P135841,ns,743
CR603215,,A_32_P173744,b,744
A_24_P264293,,A_24_P264293,0,745
GIMAP7,"GTPase, IMAP family member 7",A_24_P274831,NM_153236,746
AA541413,,A_32_P34365,b,747
AA253216,,A_32_P222751,b,748
A_32_P125056,,A_32_P125056,0,749
FUCA1,"fucosidase, alpha-L- 1, tissue",A_23_P11543,NM_000147,750
AF035035,,A_24_P93523,b,751
AK128476,,A_23_P136026,b,752
AK098422,,A_32_P170736,b,753
ZNF92,zinc finger protein 92 (HTF12),A_24_P192209,NM_007139,754
TNRC4,trinucleotide repeat containing 4,A_23_P337849,NM_007185,755
A_32_P82293,,A_32_P82293,0,756
A_32_P224926,,A_32_P224926,0,757
RAB30,"RAB30, member RAS oncogene family",A_24_P167338,NM_014488,758
RNF130,ring finger protein 130,A_23_P41734,NM_018434,759
ABCD2,"ATP-binding cassette, sub-family D (ALD), member 2",A_23_P388124,NM_005164,760
RTN4IP1,reticulon 4 interacting protein 1,A_23_P122775,NM_032730,761
DLG3,"discs, large homolog 3 (neuroendocrine-dlg, Drosophila)",A_24_P945283,b,762
NEXN,nexilin (F actin binding protein),A_24_P409971,NM_144573,763
BC025734,,A_32_P120292,b,764
MTPN,myotrophin,A_24_P55465,NM_145808,765
GM88,88-kDa golgi protein,A_23_P37623,NM_181076,766
CROP,cisplatin resistance-associated overexpressed protein,A_23_P207493,NM_016424,767
LOC122867,similar to cytochrome c oxidase subunit IV (COXIV) pseudogene (E.C. 1.9.3.1),A_24_P161459,XM_063336,768
ZNF563,zinc finger protein 563,A_23_P107881,NM_145276,769
AK129652,,A_24_P942469,b,770
SLC23A2,"solute carrier family 23 (nucleobase transporters), member 2",A_24_P254278,NM_203327,771
SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",A_23_P60354,NM_139045,772
MGC10814,hypothetical protein MGC10814,A_23_P79032,b,773
AZI1,5-azacytidine induced 1,A_23_P319270,NM_014984,774
SSH1,slingshot homolog 1 (Drosophila),A_24_P109524,NM_018984,775
SYNCRIP,"synaptotagmin binding, cytoplasmic RNA interacting protein",A_23_P214798,NM_006372,776
SLPI,secretory leukocyte protease inhibitor (antileukoproteinase),A_24_P190472,NM_003064,777
ADAM17,"a disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme)",A_23_P143120,NM_003183,778
HXMA,xenobiotic/medium-chain fatty acid:CoA ligase,A_23_P66328,NM_182617,779
RPL26L1,ribosomal protein L26-like 1,A_24_P106306,NM_016093,780
MGC5509,hypothetical protein MGC5509,A_23_P165698,NM_024093,781
ENST00000301807,,A_24_P68079,ns,782
AFF1,"AF4/FMR2 family, member 1",A_23_P169619,NM_005935,783
HERC2,hect domain and RLD 2,A_23_P33407,NM_004667,784
TP73L,tumor protein p73-like,A_23_P327380,NM_003722,785
ZNF15L1,zinc finger protein 15-like 1 (KOX 8),A_32_P46155,NM_021269,786
IGF2R,insulin-like growth factor 2 receptor,A_23_P156953,NM_000876,787
CHST6,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6,A_23_P106922,NM_021615,788
MIA,melanoma inhibitory activity,A_23_P4714,NM_006533,789
ENST00000307366,,A_23_P1956,ns,790
ENST00000186436,,A_23_P368558,ns,791
CBX7,chromobox homolog 7,A_24_P19410,NM_175709,792
AI342696,,A_32_P215002,b,793
A_32_P172198,,A_32_P172198,0,794
LOC392793,similar to eukaryotic translation elongation factor 1 beta 2; eukaryotic translation elongation factor 1 beta 1,A_24_P109821,XM_374526,795
LOC317671,LOC317671,A_23_P251647,NM_173362,796
P2RY6,"pyrimidinergic receptor P2Y, G-protein coupled, 6",A_23_P64611,NM_176798,797
SIVA,CD27-binding (Siva) protein,A_24_P116351,NM_006427,798
IRF2BP2,interferon regulatory factor 2 binding protein 2,A_24_P497186,b,799
HGFAC,HGF activator,A_23_P58108,NM_001528,800
AK127450,,A_24_P633543,b,801
MGC42718,hypothetical protein MGC42718,A_23_P311780,b,802
MED18,"mediator of RNA polymerase II transcription, subunit 18 homolog (yeast)",A_23_P138105,NM_017638,803
GIMAP2,"GTPase, IMAP family member 2",A_23_P368681,NM_015660,804
37509,septin 11,A_23_P306964,NM_018243,805
CDH24,cadherin-like 24,A_23_P405267,b,806
AL832942,,A_24_P324630,b,807
FZD2,frizzled homolog 2 (Drosophila),A_23_P141362,NM_001466,808
AK021561,,A_24_P928357,b,809
DERL3,"Der1-like domain family, member 3",A_23_P6362,NM_198440,810
THC2279671,,A_24_P925310,hc,811
TRIM10,tripartite motif-containing 10,A_23_P420831,NM_052828,812
THC2375651,,A_32_P4934,hc,813
T25391,,A_24_P922327,b,814
U21252,,A_24_P608268,b,815
TUBD1,"tubulin, delta 1",A_23_P26895,NM_016261,816
