Probe,Symbol,Gene Name,Chromo-some,Log Ratio,P-Value,Brain Expressed
ILMN_1690822,VAPA," VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa",18,0.086,0.00382,_
ILMN_1775171,WIPF2," WAS/WASL interacting protein family, member 2 ",17,0.089,0.00372,
ILMN_1739450,NFE2L1, nuclear factor (erythroid-derived 2)-like 1,17,0.091,0.00162,_
ILMN_1892895,,UI-E-EJ1-ajq-h-17-0-UI.s1 UI-E-EJ1  cDNA clone UI-E-EJ1-ajq-h-17-0-UI 3,5,0.091,0.0041,
ILMN_1716869,GPM6A, glycoprotein M6A,4,0.092,0.00147,_
ILMN_1775742,RNF128, ring finger protein 128,X,0.093,0.00326,_
ILMN_1690682,B3GALT4," UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4",6,0.094,0.00421,_
ILMN_1712673,SASH1, SAM and SH3 domain containing 1 ,6,0.094,0.00395,_
ILMN_1674874,MFSD10, major facilitator superfamily domain containing 10 ,4,0.095,0.00186,_
ILMN_1705783,NXF1, nuclear RNA export factor 1 ,11,0.095,0.00447,_
ILMN_2378257,SDF4, stromal cell derived factor 4 ,1,0.098,0.00492,_
ILMN_2278265,PAOX, polyamine oxidase (exo-N4-amino),10,0.1,0.00273,_
ILMN_1812403,BCAP31, B-cell receptor-associated protein 31 ,X,0.101,0.00253,_
ILMN_1796244,CD2BP2, CD2 (cytoplasmic tail) binding protein 2,16,0.101,0.00051,_
ILMN_1748908,PROSC, proline synthetase co-transcribed homolog ,8,0.101,0.00239,_
ILMN_1793832,GRB14, growth factor receptor-bound protein 14 ,2,0.102,0.00369,_
ILMN_1800276,RCN1," reticulocalbin 1, EF-hand calcium binding domain ",11,0.104,0.00144,
ILMN_1732176,AGPAT2, 1-acylglycerol-3-phosphate O-acyltransferase 2 ,9,0.105,0.00153,_
ILMN_1771651,MON1B, MON1 homolog B ,16,0.105,0.00475,_
ILMN_1773850,FXC1, fracture callus 1 homolog ,11,0.108,0.002,_
ILMN_1671509,CCL3, chemokine (C-C motif) ligand 3,17,0.109,0.00357,
ILMN_2203891,SMAD7, SMAD family member 7,18,0.11,0.00056,_
ILMN_1703894,BOLA2, bolA homolog 2,16,0.113,0.00269,
ILMN_1730620,ARRB1," arrestin, beta 1",11,0.114,0.00465,_
ILMN_1782015,FCRLB, Fc receptor-like B ,1,0.116,0.00024,
ILMN_1751886,REC8, REC8 homolog ,14,0.116,0.0041,_
ILMN_1695978,LINGO2, leucine rich repeat and Ig domain containing 2 ,9,0.119,0.00018,_
ILMN_1656315,DMD," dystrophin (muscular dystrophy, Duchenne and Becker types) ",X,0.12,0.00027,_
ILMN_1671237,GNGT2," guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2 ",17,0.122,0.00042,
ILMN_1691334,TXNDC3, thioredoxin domain containing 3 ,7,0.123,0.00434,
ILMN_2119535,RIPK1, receptor (TNFRSF)-interacting serine-threonine kinase 1 ,6,0.124,0.00191,_
ILMN_1783956,ATP8B4," ATPase, class I, type 8B, member 4",15,0.127,0.0044,_
ILMN_2305407,ZBTB16, zinc finger and BTB domain containing 16 ,11,0.127,0.00291,_
ILMN_2398926,C17orf58, chromosome 17 open reading frame 58,17,0.129,0.00008,_
ILMN_1723743,ROM1, retinal outer segment membrane protein 1,11,0.129,0.00365,_
ILMN_1790973,CDS2, CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2 ,20,0.13,0.00214,_
ILMN_1729287,NMUR1, neuromedin U receptor 1 ,2,0.13,0.00201,_
ILMN_1805979,GAB3, GRB2-associated binding protein 3,X,0.131,0.0002,
ILMN_1824666,, mRNA; cDNA DKFZp667A182 ,,0.137,0.00054,
ILMN_1672662,SLC20A1," solute carrier family 20 (phosphate transporter), member 1",2,0.139,0.00021,_
ILMN_2052208,GADD45A," growth arrest and DNA-damage-inducible, alpha ",1,0.14,0.00416,_
ILMN_1714393,RAB24," RAB24, member RAS oncogene family",5,0.144,0.00048,_
ILMN_1687757,AKR1C4," aldo-keto reductase family 1, member C4 ",10,0.147,0.0007,
ILMN_2043816,ARPC5L," actin related protein 2/3 complex, subunit 5-like ",9,0.147,0.00117,_
ILMN_2086077,JUNB, jun B proto-oncogene,19,0.148,0.00254,_
ILMN_1688775,METRNL,"PREDICTED:  meteorin, glial cell differentiation regulator-like",,0.151,0.00121,_
ILMN_1725534,ACTN4," actinin, alpha 4 ",19,0.153,0.00416,_
ILMN_1759326,P2RX7," purinergic receptor P2X, ligand-gated ion channel, 7 ",12,0.153,0.00046,_
ILMN_1769779,PTP4A3," protein tyrosine phosphatase type IVA, member 3 ",8,0.153,0.0043,_
ILMN_2053415,LDLR, low density lipoprotein receptor ,19,0.155,0.00169,_
ILMN_1780861,LOC653506,"PREDICTED:  similar to meteorin, glial cell differentiation regulator-like ",17,0.156,0.00169,
ILMN_1740466,FAM46A," family with sequence similarity 46, member A ",6,0.16,0.00046,_
ILMN_2390310,C17orf91, chromosome 17 open reading frame 91,17,0.162,0.00078,_
ILMN_1719975,HOXC4, homeobox C4 ,12,0.162,0.00002,
ILMN_1792473,AIF1, allograft inflammatory factor 1 ,6,0.163,0.00407,_
ILMN_1811779,MGC24103,PREDICTED:  hypothetical protein MGC24103 ,9,0.163,0.00024,
ILMN_1730710,ADORA3, adenosine A3 receptor,1,0.165,0.00364,_
ILMN_1749591,ITGAL," integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)",16,0.165,0.00063,
ILMN_1781824,FASLG, Fas ligand,1,0.166,0.00247,
ILMN_1693552,CD300A, CD300a molecule,17,0.168,0.00043,_
ILMN_1776125,TRK1, tRNA lysine 1,,0.172,0.0026,
ILMN_1907042,," cDNA FLJ41270 fis, clone BRAMY2036387",1,0.174,0.00002,
ILMN_2329114,COLQ, collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase ,,0.175,0.00024,_
ILMN_1666902,GPR114, G protein-coupled receptor 114 ,16,0.176,0.00287,_
ILMN_1811387,TFF3, trefoil factor 3 ,21,0.176,0.0027,_
ILMN_1664330,CEACAM1, carcinoembryonic antigen-related cell adhesion molecule 1 ,19,0.18,0.00082,
ILMN_2352131,ERBB2," v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog ",17,0.183,0.00022,_
ILMN_2082593,KIR3DL3," killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3 ",19,0.183,0.0042,
ILMN_1796245,DNASE2," deoxyribonuclease II, lysosomal ",19,0.187,0.00001,_
ILMN_1692517,LOC653381,PREDICTED:  similar to Sorbitol dehydrogenase,15,0.189,0.00051,
ILMN_1750321,LBA1, lupus brain antigen 1,3,0.193,0.00202,
ILMN_1913060,," cDNA FLJ44441 fis, clone UTERU2020242",12,0.193,0.00047,
ILMN_1693826,HAVCR2, hepatitis A virus cellular receptor 2,5,0.194,0.00007,_
ILMN_2062468,IGFBP7, insulin-like growth factor binding protein 7,4,0.204,0.00012,_
ILMN_2371724,CEACAM1, carcinoembryonic antigen-related cell adhesion molecule 1 ,19,0.207,0.00246,
ILMN_1721127,HIST1H3D," histone cluster 1, H3d",6,0.207,<0.000001,_
ILMN_1796179,HIST1H2BK," histone cluster 1, H2bk",6,0.209,0.0028,_
ILMN_1678882,KIR2DL1," killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1 ",19,0.21,0.00203,
ILMN_1745788,CX3CR1, chemokine (C-X3-C motif) receptor 1 ,3,0.212,0.00153,_
ILMN_1784287,TGFBR3," transforming growth factor, beta receptor III ",1,0.216,0.00454,_
ILMN_1779095,CEBPE, CCAAT/enhancer binding protein ,14,0.218,0.001,_
ILMN_2131828,KIR3DL1," killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1 ",19,0.222,0.00253,
ILMN_1771385,GBP4, guanylate binding protein 4 ,1,0.225,0.0005,_
ILMN_2088437,CX3CR1, chemokine (C-X3-C motif) receptor 1,3,0.235,0.00251,_
ILMN_1796409,C1QB," complement component 1, q subcomponent, B chain ",1,0.242,0.00066,_
ILMN_1727567,OLIG2, oligodendrocyte lineage transcription factor 2 ,21,0.254,0.00267,_
ILMN_2060413,CD24, CD24 molecule ,Y,0.263,0.00394,_
ILMN_1778240,GFOD1, glucose-fructose oxidoreductase domain containing 1,6,0.264,0.00002,_
ILMN_1716815,CEACAM1, carcinoembryonic antigen-related cell adhesion molecule 1,19,0.265,0.00073,
ILMN_1751120,HIST1H4H," histone cluster 1, H4h ",6,0.266,0.00012,_
ILMN_2114568,GBP5, guanylate binding protein 5 ,1,0.278,0.00207,
ILMN_1677920,LTF, lactotransferrin,3,0.3,0.00181,
ILMN_1742001,CD160, CD160 molecule,1,0.311,0.00084,
ILMN_1682993,NKG7, natural killer cell group 7 sequence,19,0.322,0.00039,_
ILMN_1713124,AKR1C3," aldo-keto reductase family 1, member C3 ",10,0.332,0.00027,_
ILMN_2109489,GZMB, granzyme B ,14,0.344,0.00372,
ILMN_1758623,HIST1H2BD," histone cluster 1, H2bd",6,0.346,0.00005,_
ILMN_1655549,SIGLEC10, sialic acid binding Ig-like lectin 10 ,19,0.375,0.00001,_
ILMN_1651496,HIST1H2BD," histone cluster 1, H2bd ",6,0.411,0.00005,_
ILMN_1688580,CAMP, cathelicidin antimicrobial peptide ,3,0.448,0.00324,_
ILMN_2116877,OLFM4, olfactomedin 4 ,13,0.455,0.00049,_
ILMN_2113126,RNASE3," ribonuclease, RNase A family, 3",14,0.475,0.00035,
