ID,log2 fold change,Average Expression,moderated t-statistic,nominal p-value,Benjamini-Hochberg adjusted p-value,Gene Symbol,Gene Title,Chromosomal Location,Alignments
1558747_at,0.391,5.294,4.718,8.25E-06,4.98E-04,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,chr18p11.32,chr18:2655885-2697868 (+) // 99.71 // p11.32
222825_at,-0.114,8.574,-4.716,8.29E-06,4.98E-04,OTUD6B,OTU domain containing 6B,chr8q21.3,chr8:92082564-92099319 (+) // 97.47 // q21.3
225838_at,-0.136,7.690,-4.716,8.31E-06,4.98E-04,EPC2,enhancer of polycomb homolog 2 (Drosophila),chr2q23.1,chr2:149500765-149546060 (+) // 99.7 // q23.1
209513_s_at,-0.172,8.995,-4.715,8.32E-06,4.98E-04,HSDL2,hydroxysteroid dehydrogenase like 2,chr9q32,chr9:115142359-115234684 (+) // 68.2 // q32
225234_at,0.191,7.516,4.713,8.40E-06,5.02E-04,CBL,Cas-Br-M (murine) ecotropic retroviral transforming sequence,chr11q23.3,chr11:119175481-119178857 (+) // 93.5 // q23.3
202185_at,0.107,6.476,4.712,8.44E-06,5.03E-04,PLOD3,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3",chr7q22,chr7:100849259-100860770 (-) // 98.62 // q22.1
1569107_s_at,-0.208,4.986,-4.710,8.49E-06,5.05E-04,ZNF642,zinc finger protein 642,chr1p34.2,chr1:40942886-40962015 (+) // 92.05 // p34.2
226898_s_at,-0.132,3.885,-4.708,8.55E-06,5.07E-04,SFPQ,Splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated),chr1p34.3,chr1:35654602-35657132 (+) // 93.66 // p34.3
223225_s_at,-0.111,7.589,-4.705,8.67E-06,5.10E-04,SEH1L,SEH1-like (S. cerevisiae),chr18p11.21,chr18:12947988-12987535 (+) // 89.78 // p11.21
209418_s_at,0.113,7.531,4.705,8.68E-06,5.10E-04,THOC5,THO complex 5,chr22q12.2,chr22:29904318-29945149 (-) // 97.81 // q12.2
235304_at,-0.172,5.118,-4.703,8.73E-06,5.10E-04,LOC100507486,hypothetical LOC100507486,---,chr19:38219490-38220828 (-) // 60.82 // q13.12
224842_at,-0.116,10.425,-4.703,8.74E-06,5.10E-04,SMG1,"SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)",chr16p12.3,chr16:18816179-18819114 (-) // 94.39 // p12.3
229138_at,-0.185,7.424,-4.702,8.78E-06,5.10E-04,PARP11,"poly (ADP-ribose) polymerase family, member 11",chr12p13.3,chr12:3918026-3918765 (-) // 97.35 // p13.32
218174_s_at,-0.175,5.500,-4.701,8.80E-06,5.10E-04,C10orf57,chromosome 10 open reading frame 57,chr10q22.3,chr10:81838425-81852303 (+) // 99.8 // q22.3
221839_s_at,0.122,9.267,4.701,8.80E-06,5.10E-04,UBAP2,ubiquitin associated protein 2,chr9p13.3,chr9:33921843-33996333 (-) // 99.82 // p13.3
232130_at,-0.157,6.339,-4.700,8.82E-06,5.10E-04,---,---,---,chrX:70274420-70277240 (-) // 48.2 // q13.1
204799_at,-0.121,6.878,-4.700,8.82E-06,5.10E-04,ZBED4,"zinc finger, BED-type containing 4",chr22q13.33,chr22:50247528-50282090 (+) // 99.41 // q13.33
229355_at,-0.125,7.595,-4.700,8.83E-06,5.10E-04,UBE2D3,"ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)",chr4q24,chr4:103715540-103716122 (-) // 92.51 // q24
227391_x_at,-0.133,10.505,-4.700,8.84E-06,5.10E-04,LRRFIP1,leucine rich repeat (in FLII) interacting protein 1,chr2q37.3,chr2:238673893-238674558 (+) // 58.4 // q37.3 /// chr3:178975039-178975670 (-) // 63.53 // q26.32
218090_s_at,-0.130,9.326,-4.698,8.93E-06,5.14E-04,WDR11,WD repeat domain 11,chr10q26,chr10:122610899-122669032 (+) // 99.89 // q26.12
204569_at,-0.225,5.419,-4.696,8.97E-06,5.15E-04,ICK,intestinal cell (MAK-like) kinase,chr6p12.1,chr6:52866097-52926487 (-) // 92.33 // p12.2
239607_at,0.124,4.455,4.695,9.03E-06,5.17E-04,GPR156,G protein-coupled receptor 156,chr3q13.33,chr3:119883873-119884860 (-) // 90.89 // q13.33
1558275_at,0.167,3.398,4.693,9.10E-06,5.20E-04,---,---,---,chr16:4001312-4398935 (-) // 38.56 // p13.3
218084_x_at,0.245,7.723,4.684,9.41E-06,5.37E-04,FXYD5,FXYD domain containing ion transport regulator 5,chr19q13.12,chr19:35645654-35660784 (+) // 99.54 // q13.12
228652_at,-0.125,8.039,-4.683,9.46E-06,5.38E-04,ZNF776,zinc finger protein 776,chr19q13.43,chr19:58269043-58269753 (+) // 29.01 // q13.43
212245_at,-0.103,9.014,-4.682,9.50E-06,5.39E-04,MCFD2,multiple coagulation factor deficiency 2,chr2p21,chr2:47129012-47142926 (-) // 46.02 // p21
223811_s_at,0.166,6.148,4.681,9.53E-06,5.39E-04,GET4 /// SUN1,golgi to ER traffic protein 4 homolog (S. cerevisiae) /// Sad1 and UNC84 domain containing 1,chr7p22.3,chr7:916248-935326 (+) // 90.18 // p22.3
202160_at,-0.137,8.442,-4.681,9.55E-06,5.39E-04,CREBBP,CREB binding protein,chr16p13.3,chr16:3776568-3930711 (-) // 96.63 // p13.3
207304_at,-0.184,5.269,-4.677,9.68E-06,5.45E-04,ZNF45,zinc finger protein 45,chr19q13.2,chr19:44417280-44426436 (-) // 99.75 // q13.31
34858_at,0.109,6.383,4.677,9.70E-06,5.45E-04,KCTD2,potassium channel tetramerisation domain containing 2,chr17q25.1,chr17:73043339-73061979 (+) // 87.15 // q25.1
207688_s_at,-0.124,7.589,-4.676,9.72E-06,5.45E-04,---,---,---,chr12:57828542-57844609 (+) // 77.51 // q13.3
234975_at,-0.204,4.118,-4.675,9.78E-06,5.47E-04,GSPT1,G1 to S phase transition 1,chr16p13.1,chr16:11963588-11965044 (-) // 99.66 // p13.13
52078_at,0.121,5.971,4.674,9.81E-06,5.47E-04,TMEM222,transmembrane protein 222,chr1p36.11,chr1:27662321-27662890 (+) // 94.21 // p36.11
219151_s_at,-0.139,6.910,-4.672,9.89E-06,5.50E-04,RABL2A /// RABL2B,"RAB, member of RAS oncogene family-like 2A /// RAB, member of RAS oncogene family-like 2B",chr22q13.33 /// chr2q13,chr2:114384881-114400961 (+) // 84.63 // q13 /// chr22:51205936-51222028 (-) // 84.77 // q13.33
208296_x_at,-0.119,10.745,-4.671,9.91E-06,5.50E-04,TNFAIP8,"tumor necrosis factor, alpha-induced protein 8",chr5q23.1,chr5:118691729-118730293 (+) // 99.0 // q23.1
239219_at,0.226,3.386,4.671,9.93E-06,5.50E-04,AURKB,aurora kinase B,chr17p13.1,chr17:8113175-8113839 (-) // 86.52 // p13.1
217665_at,-0.191,6.605,-4.670,9.95E-06,5.50E-04,ZNF813,zinc finger protein 813,chr19q13.42,chr19:53999000-53999509 (+) // 80.71 // q13.42
210933_s_at,-0.139,4.706,-4.665,1.01E-05,5.59E-04,FSCN1,"fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)",chr7p22,chr16:67183118-67184867 (+) // 77.05 // q22.1
225100_at,0.352,6.233,4.664,1.02E-05,5.60E-04,FBXO45,F-box protein 45,chr3q29,chr3:196295481-196314156 (+) // 88.67 // q29
235011_at,-0.166,3.828,-4.664,1.02E-05,5.60E-04,MAP3K2,mitogen-activated protein kinase kinase kinase 2,chr2q14.3,chr2:128060827-128063518 (-) // 96.38 // q14.3
230848_s_at,-0.166,6.826,-4.662,1.03E-05,5.62E-04,MGA,MAX gene associated,chr15q14,chr15:42061318-42062006 (-) // 95.92 // q15.1
228468_at,-0.145,8.820,-4.661,1.03E-05,5.62E-04,MASTL,microtubule associated serine/threonine kinase-like,chr10p12.1,chr10:27470414-27475830 (+) // 99.84 // p12.1
225462_at,-0.119,8.594,-4.661,1.03E-05,5.62E-04,TMEM128,transmembrane protein 128,chr4p16.3,chr2:91766534-91768920 (+) // 51.95 // p11.1 /// chr4:4237268-4249959 (-) // 87.11 // p16.3
228401_at,-0.135,8.564,-4.660,1.04E-05,5.63E-04,ATAD2,"ATPase family, AAA domain containing 2",chr8q24.13,chr8:124332089-124332713 (-) // 83.85 // q24.13
218911_at,-0.182,7.307,-4.656,1.05E-05,5.71E-04,YEATS4,YEATS domain containing 4,chr12q13-q15,chr12:69753531-69784575 (+) // 98.5 // q15
205371_s_at,-0.171,5.818,-4.650,1.08E-05,5.83E-04,DBT,dihydrolipoamide branched chain transacylase E2,chr1p31,chr1:100660604-100715374 (-) // 86.15 // p21.2
201312_s_at,-0.105,11.316,-4.646,1.09E-05,5.91E-04,SH3BGRL,SH3 domain binding glutamic acid-rich protein like,chrXq13.3,chrX:80457621-80554044 (+) // 98.01 // q21.1
227814_at,-0.112,4.908,-4.645,1.10E-05,5.91E-04,WDR53,WD repeat domain 53,chr3q29,chr3:196281058-196294181 (-) // 96.85 // q29
205191_at,-0.244,6.168,-4.645,1.10E-05,5.91E-04,RP2,retinitis pigmentosa 2 (X-linked recessive),chrXp11.3,chrX:46696374-46741789 (+) // 87.86 // p11.23
217887_s_at,-0.121,10.603,-4.640,1.12E-05,6.02E-04,EPS15,epidermal growth factor receptor pathway substrate 15,chr1p32,chr1:51820898-51984995 (-) // 98.92 // p32.3
226251_at,-0.136,8.382,-4.638,1.13E-05,6.05E-04,ASXL2,additional sex combs like 2 (Drosophila),chr2p24.1,chr2:25960346-25961873 (-) // 97.84 // p23.3
241727_x_at,-0.144,6.261,-4.637,1.14E-05,6.06E-04,DHFRL1,dihydrofolate reductase-like 1,chr3q11.1,chr18:23748474-23748820 (-) // 32.48 // q11.2 /// chr3:93777591-93777941 (-) // 34.19 // q11.1 /// chr5:79922693-79923039 (-) // 32.48 // q14.1
201953_at,0.124,9.304,4.634,1.15E-05,6.10E-04,CIB1,calcium and integrin binding 1 (calmyrin),chr15q25.3-q26,chr15:90773477-90777160 (-) // 94.59 // q26.1
1569496_s_at,0.190,4.423,4.634,1.15E-05,6.10E-04,LOC100130872,hypothetical LOC100130872,chr4p16.3,chr4:1189571-1191541 (-) // 58.48 // p16.3
243178_at,0.225,4.722,4.631,1.16E-05,6.16E-04,---,---,---,chr2:101894619-101895049 (-) // 16.9 // q11.2
212564_at,0.125,5.561,4.629,1.17E-05,6.16E-04,KCTD2,potassium channel tetramerisation domain containing 2,chr17q25.1,chr17:73043339-73061979 (+) // 93.11 // q25.1
210379_s_at,-0.152,8.330,-4.628,1.17E-05,6.16E-04,TLK1,tousled-like kinase 1,chr2q31.1,chr9:125448166-125450913 (+) // 88.54 // q33.2 /// chr2:171850006-172017091 (-) // 95.74 // q31.1
225758_s_at,0.146,4.659,4.628,1.18E-05,6.16E-04,TUBGCP6,"tubulin, gamma complex associated protein 6",chr22q13.31-q13.33,chr22:50656122-50682794 (-) // 98.31 // q13.33
238695_s_at,-0.259,6.170,-4.628,1.18E-05,6.16E-04,RAB39B,"RAB39B, member RAS oncogene family",chrXq28,chrX:154488083-154489073 (-) // 86.92 // q28
234295_at,-0.178,7.477,-4.628,1.18E-05,6.16E-04,DBR1,debranching enzyme homolog 1 (S. cerevisiae),chr3q22.3,chr3:137879852-137883045 (-) // 76.46 // q22.3
212633_at,-0.133,9.471,-4.627,1.18E-05,6.16E-04,KIAA0776,KIAA0776,chr6q16.1,chr6:96969701-97003273 (+) // 97.1 // q16.1
239680_at,-0.258,6.139,-4.627,1.18E-05,6.16E-04,WDR76,WD repeat domain 76,chr15q15.3,chr15:44160094-44160612 (+) // 93.08 // q15.3
209989_at,-0.146,7.021,-4.620,1.21E-05,6.32E-04,ZNF268,zinc finger protein 268,chr12q24.33,chr12:133757994-133781730 (+) // 98.9 // q24.33
217693_x_at,-0.170,5.088,-4.618,1.22E-05,6.35E-04,MAGOH2,"mago-nashi homolog 2, proliferation-associated (Drosophila)",chr17p13.1,chr17:10619005-10619823 (-) // 63.87 // p13.1
219805_at,-0.119,5.187,-4.617,1.23E-05,6.37E-04,CXorf56,chromosome X open reading frame 56,chrXq23,chrX:118672112-118699364 (-) // 73.25 // q24
213111_at,-0.185,9.769,-4.614,1.24E-05,6.41E-04,PIKFYVE,"phosphoinositide kinase, FYVE finger containing",chr2q34,chr2:209201600-209223470 (+) // 91.48 // q34
218043_s_at,-0.149,7.015,-4.614,1.24E-05,6.41E-04,AZI2,5-azacytidine induced 2,chr3p24.1,chr3:28364862-28390465 (-) // 98.98 // p24.1
235767_x_at,-0.145,8.400,-4.610,1.26E-05,6.49E-04,PHAX,phosphorylated adaptor for RNA export,chr5q23.2,chr5:125962274-125962939 (+) // 49.85 // q23.2
208074_s_at,0.134,9.299,4.609,1.27E-05,6.49E-04,AP2S1,"adaptor-related protein complex 2, sigma 1 subunit",chr19q13.2-q13.3,chr19:47341423-47354091 (-) // 98.65 // q13.32
220242_x_at,-0.117,5.481,-4.609,1.27E-05,6.49E-04,ZNF701,zinc finger protein 701,chr19q13.41,chr19:53073527-53087966 (+) // 84.78 // q13.41
1553113_s_at,-0.126,7.658,-4.608,1.27E-05,6.49E-04,CDK8,cyclin-dependent kinase 8,chr13q12,chr13:26828755-26979193 (+) // 98.5 // q12.13
227987_at,-0.168,7.259,-4.608,1.27E-05,6.49E-04,VPS13A,vacuolar protein sorting 13 homolog A (S. cerevisiae),chr9q21,chr9:80031110-80032406 (+) // 96.84 // q21.2
237159_x_at,-0.257,6.647,-4.607,1.27E-05,6.49E-04,AP1S3,"adaptor-related protein complex 1, sigma 3 subunit",chr2q36.1,chr2:224620046-224620307 (-) // 73.43 // q36.1
206056_x_at,0.160,7.016,4.607,1.28E-05,6.49E-04,SPN,sialophorin,chr16p11.2,chr16:29674512-29679123 (+) // 80.24 // p11.2
219316_s_at,-0.371,4.849,-4.605,1.29E-05,6.52E-04,FLVCR2,"feline leukemia virus subgroup C cellular receptor family, member 2",chr14q24.3,chr14:76044991-76114507 (+) // 98.4 // q24.3
1553167_a_at,-0.157,5.951,-4.604,1.29E-05,6.54E-04,SEPSECS,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,chr4p15.2,chr4:25125233-25162053 (-) // 89.28 // p15.2
243435_at,0.271,4.968,4.603,1.29E-05,6.54E-04,KCNQ1OT1,KCNQ1 overlapping transcript 1 (non-protein coding),chr11p15,chr11:2699556-2700354 (-) // 64.91 // p15.5
233137_at,-0.187,6.514,-4.597,1.33E-05,6.67E-04,---,---,---,chr1:160654220-160655314 (+) // 97.94 // q23.3
214252_s_at,-0.133,6.176,-4.597,1.33E-05,6.67E-04,CLN5,"ceroid-lipofuscinosis, neuronal 5",chr13q21.1-q32,chr13:77569712-77570417 (+) // 82.94 // q22.3
212002_at,0.311,5.693,4.596,1.33E-05,6.67E-04,C1orf144,chromosome 1 open reading frame 144,chr1p36.13,chr1:16693725-16724640 (+) // 96.94 // p36.13
235480_at,0.111,3.599,4.596,1.33E-05,6.67E-04,TAB1,TGF-beta activated kinase 1/MAP3K7 binding protein 1,chr22q13.1,chr22:39830614-39831433 (-) // 82.81 // q13.1
215718_s_at,-0.142,7.005,-4.596,1.33E-05,6.67E-04,PHF3,PHD finger protein 3,chr6q12,chr6:64395269-64423896 (+) // 95.31 // q12
213826_s_at,-0.175,6.099,-4.594,1.34E-05,6.69E-04,---,---,---,chr4:140619265-140619789 (+) // 95.07 // q31.1 /// chr6:26322074-26322612 (+) // 89.05 // p22.2 /// chr1:226250430-226259212 (-) // 100.0 // q42.12 /// chr13:72249102-72249638 (-) // 92.52 // q21.33 /// chr2:175584530-175585078 (-) // 100.0 // q31.1 /// chr4:113486049-113486586 (-) // 94.71 // q25 /// chrX:122648215-122648760 (-) // 98.36 // q25 /// chrX:50648354-50648880 (-) // 90.88 // p11.22
204605_at,-0.115,7.261,-4.593,1.35E-05,6.72E-04,CGRRF1,cell growth regulator with ring finger domain 1,chr14q22.2,chr14:54976650-55005332 (+) // 99.36 // q22.2
228201_at,-0.180,6.736,-4.592,1.35E-05,6.72E-04,ARL13B,ADP-ribosylation factor-like 13B,chr3q11.1,chr3:93772522-93774123 (+) // 87.06 // q11.1
221596_s_at,-0.188,6.532,-4.585,1.39E-05,6.89E-04,C7orf64,chromosome 7 open reading frame 64,chr7q21.2,chr7:92158108-92166841 (+) // 82.09 // q21.2
232055_at,0.229,4.949,4.585,1.39E-05,6.89E-04,SFXN1,sideroflexin 1,---,chr5:174905592-174951496 (+) // 70.47 // q35.2
230629_s_at,0.308,4.730,4.584,1.40E-05,6.90E-04,EP400,E1A binding protein p400,chr12q24.33,chr12:132471243-132475211 (+) // 96.89 // q24.33
225785_at,-0.133,8.342,-4.583,1.40E-05,6.91E-04,REEP3,receptor accessory protein 3,chr10q21.3,chr10:65382594-65384881 (+) // 90.2 // q21.3
238907_at,-0.182,5.181,-4.582,1.41E-05,6.92E-04,ZNF780A,zinc finger protein 780A,chr19q13.2,chr19:40575989-40576876 (-) // 97.62 // q13.2
231897_at,-0.500,6.536,-4.580,1.42E-05,6.95E-04,PTGR1,prostaglandin reductase 1,chr9q31.3,chr9:114325248-114361687 (-) // 97.15 // q31.3
225580_at,-0.124,8.375,-4.580,1.42E-05,6.95E-04,MRPL50,mitochondrial ribosomal protein L50,chr9q31.1,chr9:104152251-104160947 (-) // 91.11 // q31.1
205322_s_at,0.169,5.804,4.577,1.44E-05,7.02E-04,MTF1,metal-regulatory transcription factor 1,chr1p33,chr1:38279146-38323383 (-) // 97.01 // p34.3
236535_at,-0.176,5.687,-4.574,1.45E-05,7.08E-04,SMC6,structural maintenance of chromosomes 6,chr2p24.2,chr2:17845078-17845931 (-) // 92.42 // p24.2
218545_at,-0.108,7.658,-4.573,1.46E-05,7.08E-04,CCDC91,coiled-coil domain containing 91,chr12p11.22,chr12:28460604-28703098 (+) // 99.95 // p11.22
218712_at,-0.138,7.583,-4.573,1.46E-05,7.09E-04,C1orf109,chromosome 1 open reading frame 109,chr1p34.3,chr1:38147242-38156192 (-) // 92.8 // p34.3
222402_at,-0.177,6.818,-4.568,1.49E-05,7.20E-04,POMP,proteasome maturation protein,chr13q12.3,chr13:29233277-29252996 (+) // 98.71 // q12.3
222521_x_at,-0.158,4.519,-4.567,1.49E-05,7.21E-04,NDUFC2,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa",chr11q14.1,chr11:77779396-77791264 (-) // 67.69 // q14.1
221247_s_at,0.128,6.300,4.565,1.50E-05,7.26E-04,WBSCR16,Williams-Beuren syndrome chromosome region 16,chr7q11.23,chr7:74765953-74790121 (+) // 71.48 // q11.23 /// chr7:74456292-74489624 (-) // 93.15 // q11.23
208987_s_at,0.117,5.022,4.562,1.52E-05,7.32E-04,KDM2A,lysine (K)-specific demethylase 2A,chr11q13.2,chr11:66887386-67025548 (+) // 98.31 // q13.2
235057_at,-0.202,6.215,-4.561,1.53E-05,7.32E-04,ITCH,itchy E3 ubiquitin protein ligase homolog (mouse),chr20q11.22,chr20:33096469-33098314 (+) // 97.78 // q11.22
1554636_at,-0.374,3.938,-4.561,1.53E-05,7.32E-04,---,---,---,chr19:58203398-58204709 (-) // 65.03 // q13.43
226283_at,-0.170,7.488,-4.561,1.53E-05,7.32E-04,POC1B,POC1 centriolar protein homolog B (Chlamydomonas),chr12q21.33,chr12:89813500-89814921 (-) // 98.68 // q21.33
230679_at,-0.214,5.388,-4.557,1.55E-05,7.40E-04,DCAF10,DDB1 and CUL4 associated factor 10,chr9p13.2,chr9:37867231-37867661 (+) // 64.44 // p13.2
240960_at,0.233,4.350,4.557,1.55E-05,7.40E-04,---,---,---,chrX:64888977-64889692 (+) // 80.27 // q12
1567032_s_at,-0.231,4.589,-4.556,1.56E-05,7.40E-04,ZNF160,zinc finger protein 160,chr19q13.42,chr19:53453136-53571734 (-) // 80.16 // q13.41
210985_s_at,-0.213,4.764,-4.556,1.56E-05,7.40E-04,SP100,SP100 nuclear antigen,chr2q37.1,chr2:231280980-231381240 (+) // 80.05 // q37.1
212824_at,-0.131,8.196,-4.553,1.58E-05,7.47E-04,FUBP3,far upstream element (FUSE) binding protein 3,chr9q34.11,chr9:133454977-133513739 (+) // 97.44 // q34.11
209088_s_at,0.376,7.112,4.553,1.58E-05,7.47E-04,UBN1,ubinuclein 1,chr16p13.3,chr16:4902215-4932361 (+) // 93.72 // p13.3
202514_at,-0.106,7.599,-4.548,1.60E-05,7.57E-04,DLG1,"discs, large homolog 1 (Drosophila)",chr3q29,chr3:196769431-197025447 (-) // 97.12 // q29
214662_at,-0.135,7.961,-4.545,1.62E-05,7.65E-04,WDR43,WD repeat domain 43,chr2p23.2,chr2:29117555-29171085 (+) // 86.48 // p23.2
1554078_s_at,0.138,8.961,4.542,1.64E-05,7.72E-04,DNAJA3,"DnaJ (Hsp40) homolog, subfamily A, member 3",chr16p13.3,chr16:4475868-4506776 (+) // 94.19 // p13.3
232422_at,-0.203,5.447,-4.542,1.65E-05,7.72E-04,A2LD1,AIG2-like domain 1,chr13q32.3,chr13:101183810-101236233 (-) // 96.98 // q32.3
200837_at,0.119,8.880,4.539,1.66E-05,7.79E-04,BCAP31,B-cell receptor-associated protein 31,chrXq28,chr16:32881303-32884884 (+) // 60.88 // p11.2 /// chr16:33790437-33794018 (-) // 60.96 // p11.2 /// chrX:152965955-152989880 (-) // 99.7 // q28
1569157_s_at,-0.275,4.726,-4.538,1.67E-05,7.81E-04,ZNF846,zinc finger protein 846,chr19p13.2,chr19:9869149-9879242 (-) // 95.17 // p13.2
204057_at,-0.148,10.856,-4.536,1.68E-05,7.85E-04,IRF8,interferon regulatory factor 8,chr16q24.1,chr16:85936382-85956212 (+) // 91.5 // q24.1
220992_s_at,-0.108,7.435,-4.535,1.69E-05,7.86E-04,C1orf25,chromosome 1 open reading frame 25,chr1q25.2,chr1:185087213-185126038 (-) // 96.97 // q25.3
229205_at,-0.316,4.150,-4.534,1.70E-05,7.88E-04,LOC100507372,hypothetical LOC100507372,---,chr19:37988068-37988494 (-) // 47.11 // q13.12
213957_s_at,0.320,4.143,4.534,1.70E-05,7.88E-04,CEP350,centrosomal protein 350kDa,chr1p36.13-q41,chr1:179966185-180053414 (+) // 99.44 // q25.2
209203_s_at,0.327,5.143,4.533,1.70E-05,7.88E-04,BICD2,bicaudal D homolog 2 (Drosophila),chr9q22.31,chr9:95474968-95476084 (-) // 67.99 // q22.31
1557081_at,0.286,7.227,4.532,1.71E-05,7.89E-04,RBM25,RNA binding motif protein 25,chr14q24.3,chr14:73569124-73570039 (+) // 83.93 // q24.2
209711_at,0.220,7.428,4.529,1.73E-05,7.98E-04,SLC35D1,"solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1",chr1p32-p31,chr1:67465030-67519782 (-) // 88.46 // p31.3
218668_s_at,-0.112,9.297,-4.528,1.73E-05,7.98E-04,RAP2C,"RAP2C, member of RAS oncogene family",chrXq25,chrX:131337052-131351312 (-) // 96.81 // q26.2
203388_at,0.134,4.209,4.527,1.74E-05,7.99E-04,ARRB2,"arrestin, beta 2",chr17p13,chr17:4613962-4624577 (+) // 99.8 // p13.2
218212_s_at,-0.184,6.203,-4.527,1.74E-05,7.99E-04,MOCS2,molybdenum cofactor synthesis 2,chr5q11,chr5:52393897-52405586 (-) // 96.85 // q11.2
225707_at,-0.148,9.654,-4.527,1.75E-05,7.99E-04,ARL6IP6,ADP-ribosylation-like factor 6 interacting protein 6,chr2q23.3,chr2:153574427-153617767 (+) // 98.54 // q23.3
218679_s_at,0.100,8.793,4.525,1.75E-05,8.01E-04,VPS28,vacuolar protein sorting 28 homolog (S. cerevisiae),chr8q24.3,chr8:145648999-145652366 (-) // 96.12 // q24.3
202625_at,-0.145,10.479,-4.523,1.77E-05,8.06E-04,LYN,v-yes-1 Yamaguchi sarcoma viral related oncogene homolog,chr8q13,chr8:56791985-56924592 (+) // 97.41 // q12.1
210822_at,0.195,5.409,4.520,1.79E-05,8.15E-04,RPL13P5,ribosomal protein L13 pseudogene 5,chr12p13.31,chr12:6993178-6993764 (+) // 99.66 // p13.31
212418_at,-0.113,9.976,-4.519,1.80E-05,8.15E-04,ELF1,E74-like factor 1 (ets domain transcription factor),chr13q13,chr13:41506167-41593451 (-) // 94.02 // q14.11
234995_at,-0.149,6.916,-4.515,1.82E-05,8.24E-04,SPICE1,spindle and centriole associated protein 1,chr3q13.2,chr3:113163485-113179614 (-) // 97.36 // q13.2
244395_at,-0.353,5.243,-4.515,1.83E-05,8.24E-04,FLJ41455,hypothetical gene supported by AK123449; BX641014,chr9q12,chr9:45447214-45447976 (+) // 98.56 // p11.2 /// chr21:10591495-10592237 (-) // 94.13 // p11.2 /// chr4:132891305-132892050 (-) // 93.99 // q28.3 /// chr9:70640415-70641150 (-) // 95.17 // q21.11 /// chr9:42245576-42246338 (-) // 95.3 // p12 /// chr9:68293575-68294305 (-) // 93.86 // q13
229785_at,-0.150,5.879,-4.515,1.83E-05,8.24E-04,KRIT1,"KRIT1, ankyrin repeat containing",chr7q21.2,chr7:91828469-91829196 (-) // 82.91 // q21.2
244640_at,-0.291,5.244,-4.515,1.83E-05,8.24E-04,ZNF850,zinc finger protein 850,chr19q13.12,chr19:37234379-37234803 (-) // 17.18 // q13.12
235714_at,-0.126,4.977,-4.512,1.85E-05,8.30E-04,GANC,"glucosidase, alpha; neutral C",chr15q15.2,chr15:42576132-42576919 (+) // 79.55 // q15.1
241912_at,-0.165,5.789,-4.511,1.86E-05,8.30E-04,ZNF814,zinc finger protein 814,chr19q13.43,chr19:58380568-58381183 (-) // 35.65 // q13.43
215160_x_at,-0.130,8.837,-4.511,1.86E-05,8.30E-04,LOC100509419 /// LOC100510581 /// LOC642236,protein FRG1B-like /// protein FRG1-like /// FSHD region gene 1 pseudogene,chr9q13,chr4:190862095-190881994 (+) // 79.21 // q35.2
212088_at,0.122,8.402,4.511,1.86E-05,8.30E-04,PMPCA,peptidase (mitochondrial processing) alpha,chr9q34.3,chr9:139305105-139318212 (+) // 97.34 // q34.3
201745_at,-0.121,7.770,-4.510,1.86E-05,8.30E-04,TWF1,"twinfilin, actin-binding protein, homolog 1 (Drosophila)",chr12q12,chr12:44187525-44200108 (-) // 98.57 // q12 /// chr17:27528566-27531552 (-) // 98.57 // q11.2 /// chrX:154517464-154520710 (-) // 91.67 // q28
208750_s_at,0.120,8.585,4.510,1.86E-05,8.30E-04,ARF1,ADP-ribosylation factor 1,chr1q42,chr1:228270360-228286910 (+) // 93.18 // q42.13
200842_s_at,0.336,9.743,4.508,1.88E-05,8.33E-04,EPRS,glutamyl-prolyl-tRNA synthetase,chr1q41,chr1:220141941-220219872 (-) // 98.14 // q41
213128_s_at,-0.125,8.329,-4.508,1.88E-05,8.33E-04,UBE3A,ubiquitin protein ligase E3A,chr15q11.2,chr15:25582331-25583783 (-) // 93.46 // q11.2
204903_x_at,0.148,7.660,4.505,1.90E-05,8.40E-04,ATG4B,ATG4 autophagy related 4 homolog B (S. cerevisiae),chr2q37.3,chr2:242577026-242612043 (+) // 99.22 // q37.3
225550_at,-0.115,7.183,-4.501,1.93E-05,8.51E-04,CNST,"consortin, connexin sorting protein",chr1q44,chr1:246823585-246831884 (+) // 96.64 // q44
1566084_at,-0.189,4.074,-4.499,1.94E-05,8.56E-04,---,---,---,chr10:98726020-99180540 (-) // 45.02 // q24.1
231874_at,-0.206,6.082,-4.498,1.95E-05,8.58E-04,FAM126B,"family with sequence similarity 126, member B",chr2q33.1,chr2:201843214-201845715 (-) // 85.93 // q33.1
225229_at,-0.140,7.785,-4.498,1.95E-05,8.58E-04,AFF4,"AF4/FMR2 family, member 4",chr5q31,chr5:132211075-132213952 (-) // 99.17 // q31.1
