Rank,GeneSymbol,Symbol from mm9,Entrez Gene ID,RefSeq ID,Description
320,KIAA0430,4921513D23Rik,223989,NM_001081154.1,KIAA0430
321,DOCK4,Dock4,238130,NM_172803.2,dedicator of cytokinesis 4
322,SYT7,Syt7,54525,NM_173068.2,synaptotagmin VII
323,FAT1,Fat1,14107,NM_001081286.2,FAT tumor suppressor homolog 1 (Drosophila)
324,KNDC1,Kndc1,76484,NM_177261.4,kinase non-catalytic C-lobe domain (KIND) containing 1
325,INTS1,Ints1,68510,NM_026748.2,integrator complex subunit 1
326,AUTS2,Auts2,319974,NM_177047.3,autism susceptibility candidate 2
327,TSC22D1,Tsc22d1,21807,NM_207652.1,"TSC22 domain family, member 1"
328,ZCCHC14,Zcchc14,142682,NM_080855.1,"zinc finger, CCHC domain containing 14"
329,SLC24A2,Slc24a2,76376,NM_172426.2,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 2"
330,GNAS,Gnas,14683,NM_010309.3,GNAS complex locus
331,NDST1,Ndst1,15531,NM_008306.4,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
332,RTN4,Rtn4,68585,NM_194054.2,reticulon 4
333,NCAN,Ncan,13004,NM_007789.3,neurocan
334,GABBR1,Gabbr1,54393,NM_019439.3,"gamma-aminobutyric acid (GABA) B receptor, 1"
335,KCNH1,Kcnh1,16510,NM_010600.2,"potassium voltage-gated channel, subfamily H (eag-related), member 1"
336,MTOR,Frap1,56717,NM_020009.1,mechanistic target of rapamycin (serine/threonine kinase)
337,MAP4K4,Map4k4,26921,NM_008696.2,mitogen-activated protein kinase kinase kinase kinase 4
338,TTLL7,TTll7,70892,NM_027594.1,"tubulin tyrosine ligase-like family, member 7"
339,SV2B,Sv2b,64176,NM_153579.4,synaptic vesicle glycoprotein 2B
340,ENC1,Enc1,13803,NM_007930.3,ectodermal-neural cortex (with BTB-like domain)
341,EPN1,Epn1,13854,NM_010147.3,epsin 1
342,ULK1,Ulk1,22241,NM_009469.3,unc-51-like kinase 1 (C. elegans)
343,NFIX,Nfix,18032,NM_001081981.1,nuclear factor I/X (CCAAT-binding transcription factor)
344,TAOK2,Taok2,381921,NM_001163774.1,TAO kinase 2
345,HIVEP3,Hivep3,16656,NM_010657.3,human immunodeficiency virus type I enhancer binding protein 3
346,CBX6-NPTXR,Npcd,504193,NM_001013362.2,Cbx6-Nptxr readthrough transcripts
347,MKL2,Mkl2,239719,NM_001122667.2,MKL/myocardin-like 2
348,ARPP21,Arpp21,74100,NM_033264.1,"cyclic AMP-regulated phosphoprotein, 21 kD"
349,ASH1L,Ash1l,192195,NM_138679.5,"ash1 (absent, small, or homeotic)-like (Drosophila)"
350,BZRAP1,Bzrap1,207777,NM_172449.2,benzodiazapine receptor (peripheral) associated protein 1
351,TTYH3,Ttyh3,78339,NM_175274.3,tweety homolog 3 (Drosophila)
352,GLUL,Glul,14645,NM_008131.3,glutamate-ammonia ligase (glutamine synthetase)
353,GCN1L1,Gcn1l1,231659,NM_172719.2,GCN1 general control of amino-acid synthesis 1-like 1 (yeast)
354,KIAA2018,Gm608,207806,NM_001029889.2,KIAA2018
355,DUSP8,Dusp8,18218,NM_008748.2,dual specificity phosphatase 8
356,GBF1,Gbf1,107338,NM_178930.3,golgi brefeldin A resistant guanine nucleotide exchange factor 1
357,SMG1,2610207I05Rik,233789,NM_001031814.1,"SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)"
358,TUBB4,Tubb4,22153,NM_009451.3,"tubulin, beta 4"
359,PTK2B,Ptk2b,19229,NM_172498.2,PTK2B protein tyrosine kinase 2 beta
360,NRXN1,Nrxn1,18189,NM_020252.2,neurexin 1
361,CELSR3,Celsr3,107934,NM_080437.2,"cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)"
362,SPARCL1,Sparcl1,13602,NM_010097.2,SPARC-like 1 (hevin)
363,SLC4A3,Slc4a3,20536,NM_009208.3,"solute carrier family 4, anion exchanger, member 3"
364,C20ORF117,9830001H06Rik,320706,N.A.,chromosome 20 open reading frame 117
365,RUSC1,Rusc1,72296,NM_028188.2,RUN and SH3 domain containing 1
366,MLL,Mll1,214162,NM_001081049.1,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)"
367,AKAP9,Akap9,100986,NM_194462.2,A kinase (PRKA) anchor protein (yotiao) 9
368,ABCA3,Abca3,27410,NM_013855.2,"ATP-binding cassette, sub-family A (ABC1), member 3"
369,SUPT6H,Supt6h,20926,NM_009297.2,suppressor of Ty 6 homolog (S. cerevisiae)
370,NCOA1,Ncoa1,17977,NM_010881.1,nuclear receptor coactivator 1
371,MYO16,Myo16,244281,NM_001081397.1,myosin XVI
372,SLC8A2,Slc8a2,110891,NM_148946.2,"solute carrier family 8 (sodium/calcium exchanger), member 2"
373,HIPK2,Hipk2,15258,NM_001136065.1,homeodomain interacting protein kinase 2
374,FRMPD4,Frmpd4,333605,NM_001033330.2,FERM and PDZ domain containing 4
375,RC3H2,Rc3h2,319817,NM_001100591.1,ring finger and CCCH-type zinc finger domains 2
376,PRICKLE2,Prickle2,243548,NM_001081146.1,prickle homolog 2 (Drosophila)
377,KIAA1688,D15Wsu169e,223666,NM_198420.1,KIAA1688 protein
378,AP2B1,Ap2b1,71770,NM_001035854.2,"adaptor-related protein complex 2, beta 1 subunit"
379,SLC1A2,Slc1a2,20511,NM_001077514.2,"solute carrier family 1 (glial high affinity glutamate transporter), member 2"
380,KIAA1045,N28178,230085,NM_172690.2,KIAA1045
381,SPAG9,Spag9,70834,NM_027569.2,sperm associated antigen 9
382,DIP2B,Dip2b,239667,NM_172819.2,DIP2 disco-interacting protein 2 homolog B (Drosophila)
383,CUX2,Cux2,13048,NM_007804.2,cut-like homeobox 2
384,WDR6,Wdr6,83669,NM_031392.2,WD repeat domain 6
385,PLEC,Plec1,18810,NM_201389.1,plectin
386,UBQLN2,Ubqln2,54609,NM_018798.2,ubiquilin 2
387,ZER1,Zer1,227693,NM_178694.3,zer-1 homolog (C. elegans)
388,FAM5B,6430517E21Rik,240843,NM_207583.1,"family with sequence similarity 5, member B"
389,CUL9,Parc,78309,NM_001081335.1,cullin 9
390,TRO,Tro,56191,NM_001002272.2,trophinin
391,ATG2B,Atg2b,76559,NM_029654.4,ATG2 autophagy related 2 homolog B (S. cerevisiae)
392,PCDHGC3,Pcdhgc3,93706,NM_033581.3,"protocadherin gamma subfamily C, 3"
393,RICH2,AU040829,216831,NM_175003.3,Rho-type GTPase-activating protein RICH2
394,RAPGEF1,Rapgef1,107746,NM_001039087.1,Rap guanine nucleotide exchange factor (GEF) 1
395,TRIP12,Trip12,14897,NM_133975.4,thyroid hormone receptor interactor 12
396,ZNF462,Zfp462,242466,NM_172867.3,zinc finger protein 462
397,STRN4,Strn4,97387,NM_133789.2,"striatin, calmodulin binding protein 4"
398,PUM2,Pum2,80913,NM_030723.1,pumilio homolog 2 (Drosophila)
399,AFF4,Aff4,93736,NM_033565.1,"AF4/FMR2 family, member 4"
400,ZC3H7B,Zc3h7b,20286,NM_001081016.1,zinc finger CCCH-type containing 7B
401,UBE3C,Ube3c,100763,NM_133907.3,ubiquitin protein ligase E3C
402,FOXO3,Foxo3a,56484,NM_019740.2,forkhead box O3
403,RALGDS,Ralgds,19730,NM_009058.1,ral guanine nucleotide dissociation stimulator
404,PINK1,Pink1,68943,NM_026880.2,PTEN induced putative kinase 1
405,KIAA0913,2310021P13Rik,268721,NM_027996.2,KIAA0913
406,GPRIN1,Gprin1,26913,NM_012014.3,G protein regulated inducer of neurite outgrowth 1
407,ULK2,Ulk2,29869,NM_013881.3,unc-51-like kinase 2 (C. elegans)
408,DIP2C,Dip2c,208440,NM_001081426.1,DIP2 disco-interacting protein 2 homolog C (Drosophila)
409,MAST4,Mast4,328329,NM_175171.3,microtubule associated serine/threonine kinase family member 4
410,SYNGR1,Syngr1,20972,NM_207708.1,synaptogyrin 1
411,DAPK1,Dapk1,69635,NM_029653.2,death-associated protein kinase 1
412,LMTK3,Lmtk3,381983,NM_001005511.2,lemur tyrosine kinase 3
413,RPRD2,Rprd2,75137,NM_001081293.1,regulation of nuclear pre-mRNA domain containing 2
414,SNAP25,Snap25,20614,NM_011428.3,"synaptosomal-associated protein, 25kDa"
415,LRRC7,Lrrc7,242274,NM_001081358.1,leucine rich repeat containing 7
416,EP300,Ep300,328572,NM_177821.6,E1A binding protein p300
417,APBA1,Apba1,319924,NM_177034.3,"amyloid beta (A4) precursor protein-binding, family A, member 1"
418,SYMPK,Sympk,68188,NM_026605.2,symplekin
419,SYNJ1,Synj1,104015,NM_001045515.1,synaptojanin 1
420,CADPS,Cadps,27062,NM_012061.3,Ca++-dependent secretion activator
421,MLL3,Mll3,231051,NM_001081383.1,myeloid/lymphoid or mixed-lineage leukemia 3
422,ZFHX2,Zfhx2,239102,NM_001039198.1,zinc finger homeobox 2
423,SIPA1L3,Sipa1l3,74206,NM_001081028.1,signal-induced proliferation-associated 1 like 3
424,HDAC5,Hdac5,15184,NM_001077696.1,histone deacetylase 5
425,TSC2,Tsc2,22084,NM_011647.2,tuberous sclerosis 2
426,CKB,Ckb,12709,NM_021273.3,"creatine kinase, brain"
427,SLC4A4,Slc4a4,54403,NM_018760.2,"solute carrier family 4, sodium bicarbonate cotransporter, member 4"
428,CKAP5,Ckap5,75786,NM_029437.1,cytoskeleton associated protein 5
429,NCKAP1,Nckap1,50884,NM_016965.2,NCK-associated protein 1
430,AP3D1,Ap3d1,11776,NM_007460.1,"adaptor-related protein complex 3, delta 1 subunit"
431,DSCAM,Dscam,13508,NM_031174.4,Down syndrome cell adhesion molecule
432,TULP4,Tulp4,68842,NM_054040.3,tubby like protein 4
433,TNIK,Tnik,665113,NM_001163007.1,TRAF2 and NCK interacting kinase
434,AMPH,Amph,218038,NM_175007.1,amphiphysin
435,DLGAP2,Dlgap2,244310,NM_172910.2,"discs, large (Drosophila) homolog-associated protein 2"
436,MTMR4,Mtmr4,170749,NM_133215.1,myotubularin related protein 4
437,PPP2R1A,Ppp2r1a,51792,NM_016891.3,"protein phosphatase 2 (formerly 2A), regulatory subunit A, alpha isoform"
438,HIVEP1,Hivep1,110521,NM_007772.2,human immunodeficiency virus type I enhancer binding protein 1
439,LPHN3,Lphn3,319387,NM_198702.2,latrophilin 3
440,KIFC2,Kifc2,16581,NM_010630.2,kinesin family member C2
441,TSHZ1,Tshz1,110796,NM_001081300.1,teashirt zinc finger homeobox 1
442,ELMO2,Elmo2,140579,NM_207706.1,engulfment and cell motility 2
443,KIF3C,Kif3c,16570,NM_008445.2,kinesin family member 3C
444,EP400,Ep400,75560,NM_029337.2,E1A binding protein p400
445,SLC6A17,Slc6a17,229706,NM_172271.2,"solute carrier family 6, member 17"
446,PCNXL2,Pcnxl2,270109,NM_175561.3,pecanex-like 2 (Drosophila)
447,PGM2L1,Pgm2l1,70974,NM_027629.3,phosphoglucomutase 2-like 1
448,BAT2L2,Bat2d,226562,NM_001081290.1,HLA-B associated transcript 2-like 2
449,MGAT5B,Mgat5b,268510,NM_172948.3,"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B"
450,ANKRD17,Ankrd17,81702,NM_030886.2,ankyrin repeat domain 17
451,NCOA6,Ncoa6,56406,NM_019825.2,nuclear receptor coactivator 6
452,BMPR2,Bmpr2,12168,NM_007561.3,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
453,CALM1,Calm1,12313,NM_009790.4,"calmodulin 1 (phosphorylase kinase, delta)"
454,PTPRJ,Ptprj,19271,NM_008982.4,"protein tyrosine phosphatase, receptor type, J"
455,CDK5R1,Cdk5r1,12569,NM_009871.2,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)"
456,CDKL5,Cdkl5,382253,NM_001024624.2,cyclin-dependent kinase-like 5
457,STXBP5,Stxbp5,78808,NM_001081344.2,syntaxin binding protein 5 (tomosyn)
458,MAP3K12,Map3k12,26404,NM_009582.3,mitogen-activated protein kinase kinase kinase 12
459,ZNF704,Zfp704,170753,NM_133218.2,zinc finger protein 704
460,TCF4,Tcf4,21413,NM_013685.2,transcription factor 4
461,KCND2,Kcnd2,16508,NM_019697.3,"potassium voltage-gated channel, Shal-related subfamily, member 2"
462,SGSM2,Sgsm2,97761,NM_197943.2,small G protein signaling modulator 2
463,UHRF1BP1L,Uhrf1bp1l,75089,NM_029166.1,UHRF1 binding protein 1-like
464,ZFP106,Zfp106,20402,NM_011743.2,zinc finger protein 106 homolog (mouse)
465,ALS2,Als2,74018,NM_001159948.2,amyotrophic lateral sclerosis 2 (juvenile)
466,WDR13,Wdr13,73447,NM_026137.3,WD repeat domain 13
467,CALM3,Calm3,12315,NM_007590.3,"calmodulin 3 (phosphorylase kinase, delta)"
468,HMGXB3,A630042L21Rik,106894,NM_178277.1,HMG box domain containing 3
469,ATP5A1,Atp5a1,11946,NM_007505.2,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle"
470,NRXN3,Nrxn3,18191,NM_172544.3,neurexin 3
471,PUM1,Pum1,80912,NM_030722.1,pumilio homolog 1 (Drosophila)
472,CPE,Cpe,12876,NM_013494.3,carboxypeptidase E
473,JPH3,Jph3,57340,NM_020605.2,junctophilin 3
474,EHMT2,Ehmt2,110147,NM_145830.1,euchromatic histone-lysine N-methyltransferase 2
475,R3HDM2,R3hdm2,71750,NM_027900.3,R3H domain containing 2
476,ADNP,Adnp,11538,NM_009628.2,activity-dependent neuroprotector homeobox
477,RALGAPB,B230339M05Rik,228850,NM_177658.3,"Ral GTPase activating protein, beta subunit (non-catalytic)"
478,HCN2,Hcn2,15166,NM_008226.2,hyperpolarization activated cyclic nucleotide-gated potassium channel 2
479,DTX1,Dtx1,14357,NM_008052.3,deltex homolog 1 (Drosophila)
480,KCNH3,Kcnh3,16512,NM_010601.3,"potassium voltage-gated channel, subfamily H (eag-related), member 3"
481,CIT,Cit,12704,NM_007708.3,"citron (rho-interacting, serine/threonine kinase 21)"
482,PJA2,Pja2,224938,NM_001025309.1,praja ring finger 2
483,USP22,Usp22,216825,NM_001004143.3,ubiquitin specific peptidase 22
484,LRRN2,Lrrn2,16980,NM_010732.2,leucine rich repeat neuronal 2
485,KIAA0802,1110012J17Rik,68617,NM_001114098.1,KIAA0802
486,ODZ2,Odz2,23964,NM_011856.3,"odz, odd Oz/ten-m homolog 2 (Drosophila)"
487,PLP1,Plp1,18823,NM_011123.2,proteolipid protein 1
488,PPP3CA,Ppp3ca,19055,NM_008913.4,"protein phosphatase 3, catalytic subunit, alpha isozyme"
489,FAM65A,2310066E14Rik,75687,NM_001081241.2,"family with sequence similarity 65, member A"
490,ZEB2,Zeb2,24136,NM_015753.3,zinc finger E-box binding homeobox 2
491,AGRN,Agrn,11603,NM_021604.2,agrin
492,GPR158,Gpr158,241263,NM_001004761.1,G protein-coupled receptor 158
493,LLGL1,Llgl1,16897,NM_008502.1,lethal giant larvae homolog 1 (Drosophila)
494,CHD8,Chd8,67772,NM_201637.2,chromodomain helicase DNA binding protein 8
495,HEATR5B,Heatr5b,320473,NM_001081179.1,HEAT repeat containing 5B
496,ATP1A1,Atp1a1,11928,NM_144900.1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide"
497,PREX2,Depdc2,109294,NM_001033636.4,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
498,RALGAPA1,Garnl1,56784,NM_019994.4,"Ral GTPase activating protein, alpha subunit 1 (catalytic)"
499,MAZ,Maz,17188,NM_010772.1,MYC-associated zinc finger protein (purine-binding transcription factor)
500,FAM21A,D6Wsu116e,28006,NM_026585.2,"family with sequence similarity 21, member A"
501,IQSEC3,Iqsec3,243621,NM_001033354.2,IQ motif and Sec7 domain 3
502,FAM115A,3321401G04Rik,77574,NM_029930.2,"family with sequence similarity 115, member A"
503,SHANK2,Shank2,210274,NM_001081370.2,SH3 and multiple ankyrin repeat domains 2
504,PACS1,Pacs1,107975,NM_153129.2,phosphofurin acidic cluster sorting protein 1
505,ALDOC,Aldoc,11676,NM_009657.3,"aldolase C, fructose-bisphosphate"
506,CRMP1,Crmp1,12933,NM_007765.3,collapsin response mediator protein 1
507,SPRN,Sprn,212518,NM_183147.2,shadow of prion protein homolog (zebrafish)
508,TMOD2,Tmod2,50876,NM_001038710.1,tropomodulin 2 (neuronal)
509,ADAP1,Centa1,231821,NM_172723.4,ArfGAP with dual PH domains 1
510,PPP1R9B,Ppp1r9b,217124,NM_172261.2,"protein phosphatase 1, regulatory (inhibitor) subunit 9B"
511,TMEM151A,Tmem151a,381199,NM_001001885.1,transmembrane protein 151A
512,ANK1,Ank1,11733,NM_001110783.1,"ankyrin 1, erythrocytic"
513,PDZD8,Pdzd8,107368,NM_001033222.3,PDZ domain containing 8
514,WWC1,Wwc1,211652,NM_170779.1,WW and C2 domain containing 1
515,CAND1,Cand1,71902,NM_027994.1,cullin-associated and neddylation-dissociated 1
516,APP,App,11820,NM_007471.2,amyloid beta (A4) precursor protein
517,FAT4,Fat4,329628,NM_183221.3,FAT tumor suppressor homolog 4 (Drosophila)
518,AP1B1,Ap1b1,11764,NM_007454.2,"adaptor-related protein complex 1, beta 1 subunit"
519,ZNF365,Zfp365,216049,NM_178679.2,zinc finger protein 365
520,EGR1,Egr1,13653,NM_007913.5,early growth response 1
521,BRD4,Brd4,57261,NM_020508.2,bromodomain containing 4
522,RC3H1,Rc3h1,381305,NM_001024952.2,ring finger and CCCH-type zinc finger domains 1
523,NDRG2,Ndrg2,29811,NM_013864.1,NDRG family member 2
524,GRIN1,Grin1,14810,NM_008169.1,"glutamate receptor, ionotropic, N-methyl D-aspartate 1"
525,CABIN1,Cabin1,104248,NM_172549.3,calcineurin binding protein 1
526,KDM5C,Jarid1c,20591,NM_013668.3,lysine (K)-specific demethylase 5C
527,PPM1E,Ppm1e,320472,NM_177167.4,"protein phosphatase, Mg2+/Mn2+ dependent, 1E"
528,ADARB1,Adarb1,110532,NR_004429.1,"adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)"
529,PRKCG,Prkcc,18752,NM_011102.3,"protein kinase C, gamma"
530,TSPAN7,Tspan7,21912,NM_019634.2,tetraspanin 7
531,MED14,Med14,26896,NM_001048208.1,mediator complex subunit 14
532,BRSK2,Brsk2,75770,NM_029426.2,BR serine/threonine kinase 2
533,WASF1,Wasf1,83767,NM_031877.2,"WAS protein family, member 1"
534,EEF1A2,Eef1a2,13628,NM_007906.2,eukaryotic translation elongation factor 1 alpha 2
535,TRIM3,Trim3,55992,NM_018880.2,tripartite motif-containing 3
536,DPP8,Dpp8,74388,NM_028906.2,dipeptidyl-peptidase 8
537,PLD3,Pld3,18807,NM_011116.1,"phospholipase D family, member 3"
538,NCOA2,Ncoa2,17978,NM_008678.2,nuclear receptor coactivator 2
539,CACNB3,Cacnb3,12297,NM_007581.2,"calcium channel, voltage-dependent, beta 3 subunit"
540,KCNC3,Kcnc3,16504,NM_008422.2,"potassium voltage-gated channel, Shaw-related subfamily, member 3"
541,HK1,Hk1,15275,NM_010438.2,hexokinase 1
542,ARHGEF11,Arhgef11,213498,NM_001003912.1,Rho guanine nucleotide exchange factor (GEF) 11
543,PROSAPIP1,RP23-100C5.8,241638,NM_197945.3,ProSAPiP1 protein
544,ZYG11B,Zyg11b,414872,NM_001033634.3,zyg-11 homolog B (C. elegans)
545,PTEN,Pten,19211,NM_008960.2,phosphatase and tensin homolog
546,BCL9L,Bcl9l,80288,NM_030256.2,B-cell CLL/lymphoma 9-like
547,PCDH9,Pcdh9,211712,NM_001081377.1,protocadherin 9
548,PLXNB1,Plxnb1,235611,NM_172775.1,plexin B1
549,TRIM2,Trim2,80890,NM_030706.2,tripartite motif-containing 2
550,PKD1,Pkd1,18763,NM_013630.2,polycystic kidney disease 1 (autosomal dominant)
551,MFHAS1,Mfhas1,52065,NM_001081279.1,malignant fibrous histiocytoma amplified sequence 1
552,SLITRK5,Slitrk5,75409,NM_198865.1,"SLIT and NTRK-like family, member 5"
553,GRIK3,Grik3,14807,NM_001081097.2,"glutamate receptor, ionotropic, kainate 3"
554,AGAP1,Centg2,347722,NM_178119.3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
555,SAMD4B,Samd4b,233033,NM_175021.2,sterile alpha motif domain containing 4B
556,HIPK3,Hipk3,15259,NM_010434.1,homeodomain interacting protein kinase 3
557,IPO5,Ipo5,70572,NM_023579.4,importin 5
558,BPTF,Bptf,207165,NM_176850.2,bromodomain PHD finger transcription factor
559,ATP1B1,Atp1b1,11931,NM_009721.5,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
560,NPAS2,Npas2,18143,NM_008719.2,neuronal PAS domain protein 2
561,LARGE,Large,16795,NM_010687.1,like-glycosyltransferase
562,ARID2,Arid2,77044,NM_175251.2,"AT rich interactive domain 2 (ARID, RFX-like)"
563,LRP3,Lrp3,435965,NM_001024707.1,low density lipoprotein receptor-related protein 3
564,MON2,Mon2,67074,NM_153395.1,MON2 homolog (S. cerevisiae)
565,SEC16A,Sec16a,227648,NM_153125.2,SEC16 homolog A (S. cerevisiae)
566,NHSL1,Nhsl1,215819,NM_173390.3,NHS-like 1
567,SPEN,Spen,56381,NM_019763.2,"spen homolog, transcriptional regulator (Drosophila)"
568,KIAA0664,1300001I01Rik,74148,NM_001081158.2,KIAA0664
569,TAOK1,Taok1,216965,NM_144825.2,TAO kinase 1
570,SLC12A5,Slc12a5,57138,NM_020333.2,"solute carrier family 12 (potassium-chloride transporter), member 5"
571,RERE,Rere,68703,NM_001085492.1,arginine-glutamic acid dipeptide (RE) repeats
572,PCDH7,Pcdh7,54216,NM_001122758.1,protocadherin 7
573,ADRBK1,Adrbk1,110355,NM_130863.1,"adrenergic, beta, receptor kinase 1"
574,SORBS2,Sorbs2,234214,NM_172752.3,sorbin and SH3 domain containing 2
575,NRGN,Nrgn,64011,NM_022029.2,"neurogranin (protein kinase C substrate, RC3)"
576,RPTOR,4932417H02Rik,74370,NM_028898.2,"regulatory associated protein of MTOR, complex 1"
577,SOBP,Sobp,109205,NM_175407.3,sine oculis binding protein homolog (Drosophila)
578,ACCN1,Accn1,11418,NM_007384.2,"amiloride-sensitive cation channel 1, neuronal"
579,AFF3,Aff3,16764,XM_001477293.1,"AF4/FMR2 family, member 3"
580,FAM160A2,4632419K20Rik,74349,NM_199009.1,"family with sequence similarity 160, member A2"
581,ARAP2,Centd1,212285,NM_178407.3,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
582,ATP6V0A1,Atp6v0a1,11975,NM_016920.2,"ATPase, H+ transporting, lysosomal V0 subunit a1"
583,MLL5,Mll5,69188,NM_026984.1,"myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)"
584,PTPRG,Ptprg,19270,NM_008981.3,"protein tyrosine phosphatase, receptor type, G"
585,RELN,Reln,19699,NM_011261.2,reelin
586,CHD6,Chd6,71389,NM_173368.2,chromodomain helicase DNA binding protein 6
587,CTBP1,Ctbp1,13016,NM_013502.2,C-terminal binding protein 1
588,VAMP2,Vamp2,22318,NM_009497.3,vesicle-associated membrane protein 2 (synaptobrevin 2)
589,SAPS2,Saps2,71474,NM_026813.1,"SAPS domain family, member 2"
590,SLC22A17,Slc22a17,59049,NM_021551.3,"solute carrier family 22, member 17"
591,SV2A,Sv2a,64051,NM_022030.3,synaptic vesicle glycoprotein 2A
592,ARHGAP20,Arhgap20,244867,NM_175535.3,Rho GTPase activating protein 20
593,ATF7IP,Atf7ip,54343,NM_019426.2,activating transcription factor 7 interacting protein
594,DHX30,Dhx30,72831,NM_133347.1,DEAH (Asp-Glu-Ala-His) box polypeptide 30
595,REV3L,Rev3l,19714,NM_011264.3,"REV3-like, catalytic subunit of DNA polymerase zeta (yeast)"
596,SLC4A8,Slc4a8,59033,NM_021530.2,"solute carrier family 4, sodium bicarbonate cotransporter, member 8"
597,RAPGEF4,Rapgef4,56508,NM_019688.1,Rap guanine nucleotide exchange factor (GEF) 4
598,IPO4,Ipo4,75751,NM_024267.6,importin 4
599,MBD5,Mbd5,109241,NM_029924.1,methyl-CpG binding domain protein 5
600,ELFN2,Elfn2,207393,NM_183141.2,extracellular leucine-rich repeat and fibronectin type III domain containing 2
601,PHLDB1,Phldb1,102693,NM_153537.3,"pleckstrin homology-like domain, family B, member 1"
602,PTPRD,Ptprd,19266,NM_011211.2,"protein tyrosine phosphatase, receptor type, D"
603,SLC12A6,Slc12a6,107723,NM_133649.2,"solute carrier family 12 (potassium/chloride transporters), member 6"
604,NPTXR,Nptxr,73340,NM_030689.4,neuronal pentraxin receptor
605,PPARGC1A,Ppargc1a,19017,NM_008904.1,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha"
606,NR2F1,Nr2f1,13865,NM_010151.2,"nuclear receptor subfamily 2, group F, member 1"
607,IRS2,Irs2,384783,NM_001081212.1,insulin receptor substrate 2
608,ARHGEF2,Arhgef2,16800,NM_008487.3,Rho/Rac guanine nucleotide exchange factor (GEF) 2
609,LPIN2,Lpin2,64898,NM_022882.3,lipin 2
610,UBAP2L,Ubap2l,74383,NM_028475.1,ubiquitin associated protein 2-like
611,RTN3,Rtn3,20168,NM_001003934.1,reticulon 3
612,TMEM151B,Tmem151b,210573,NM_001013749.1,transmembrane protein 151B
613,TCF20,Tcf20,21411,NM_001114140.1,transcription factor 20 (AR1)
614,FBXO41,Fbxo41,330369,NM_001001160.2,F-box protein 41
615,TRPC4AP,Trpc4ap,56407,NM_019828.1,"transient receptor potential cation channel, subfamily C, member 4 associated protein"
616,GPM6A,Gpm6a,234267,NM_153581.3,glycoprotein M6A
617,PPP2R5B,Ppp2r5b,225849,NM_198168.3,"protein phosphatase 2, regulatory subunit B', beta isoform"
618,QKI,Qk,19317,NM_021881.1,"quaking homolog, KH domain RNA binding (mouse)"
619,XPO7,Xpo7,65246,NM_023045.2,exportin 7
620,TMEM132A,Tmem132a,98170,NM_133804.2,transmembrane protein 132A
621,MBP,Mbp,17196,NM_001025245.1,myelin basic protein
622,SEZ6L2,Sez6l2,233878,NM_144926.4,seizure related 6 homolog (mouse)-like 2
623,KCNT1,Kcnt1,227632,NM_175462.3,"potassium channel, subfamily T, member 1"
624,AGAP3,Centg3,213990,NM_139153.2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"
625,CUX1,Cux1,13047,NM_009986.3,cut-like homeobox 1
626,ARHGAP23,4933428G20Rik,58996,NM_021493.2,Rho GTPase activating protein 23
627,EIF2C1,Eif2c1,236511,NM_153403.1,"eukaryotic translation initiation factor 2C, 1"
628,SPRED1,Spred1,114715,NM_033524.2,"sprouty-related, EVH1 domain containing 1"
629,FAM179B,A430041B07Rik,328108,NM_177805.3,"family with sequence similarity 179, member B"
630,NAT8L,Nat8l,269642,NM_001001985.3,"N-acetyltransferase 8-like (GCN5-related, putative)"
631,GPAM,Gpam,14732,NM_008149.3,"glycerol-3-phosphate acyltransferase, mitochondrial"
632,YWHAG,Ywhag,22628,NM_018871.2,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide"
633,MED16,Med16,216154,NM_198107.1,mediator complex subunit 16
634,NAV2,Nav2,78286,NM_001111016.1,neuron navigator 2
635,C14ORF4,6430527G18Rik,238330,NM_145836.1,chromosome 14 open reading frame 4
636,FAM171B,D430039N05Rik,241520,NM_175514.2,"family with sequence similarity 171, member B"
637,ARFGEF1,Arfgef1,211673,NM_001102430.1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
638,TPPP,Tppp,72948,NM_182839.1,tubulin polymerization promoting protein
639,DICER1,Dicer1,192119,NM_148948.2,"dicer 1, ribonuclease type III"
